date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,30.9,32.1,27.15,30.0,166100,141900,0.2732397310764732,-0.6475574702478186,0.008071859239731288,-0.220303692051301,0.625183621745085
2026-04-28 00:00:00+05:30,31.95,34.0,29.35,32.75,33000,156200,0.2386999815882779,-0.7382192422087175,0.008342795256620027,-0.1433715907357678,0.5320518539723352
2026-04-29 00:00:00+05:30,32.0,32.15,24.6,30.95,108900,171600,0.26391121422941133,-0.6860146424790321,0.008314705542078039,-0.20215564926549312,0.573499732572788
2026-04-30 00:00:00+05:30,38.0,42.35,33.25,35.4,24200,173800,0.24843665948275512,-0.7656093878173366,0.007885348190326841,-0.14332244239720413,0.48066805342072494
2026-05-04 00:00:00+05:30,32.0,37.6,30.7,32.4,16500,179300,,,,,
2026-05-05 00:00:00+05:30,32.4,32.4,24.25,27.9,125400,188100,,,,,
2026-05-06 00:00:00+05:30,24.55,27.25,16.5,18.9,489500,210100,,,,,
2026-05-07 00:00:00+05:30,14.15,17.4,8.15,9.2,3253800,518100,,,,,
2026-05-08 00:00:00+05:30,9.95,12.1,8.75,10.6,1772100,502700,,,,,
2026-05-11 00:00:00+05:30,13.6,15.6,8.7,10.7,1643400,489500,,,,,
2026-05-12 00:00:00+05:30,12.2,22.25,12.2,21.35,1043900,369600,,,,,
2026-05-13 00:00:00+05:30,20.0,22.85,16.9,19.9,216700,380600,,,,,
2026-05-14 00:00:00+05:30,14.8,20.2,12.9,14.1,205700,390500,,,,,
2026-05-15 00:00:00+05:30,14.45,17.75,10.8,15.7,657800,388300,,,,,
