date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-29 00:00:00+05:30,3.8,4.7,3.55,3.65,297500,164500,0.33457282997509435,0.08500362678812867,0.001602418970687204,-0.29535544768581184,0.45167835644623894
2026-04-30 00:00:00+05:30,3.0,3.35,1.6,1.75,121800,194600,0.34064069399755414,0.046420356232330214,0.0010298216305011942,-0.18464002033451885,0.2692363715388334
2026-05-04 00:00:00+05:30,1.8,1.85,1.1,1.25,54600,202300,,,,,
2026-05-05 00:00:00+05:30,1.25,1.55,1.0,1.1,163100,217000,,,,,
2026-05-06 00:00:00+05:30,1.55,1.65,0.95,1.0,50400,221900,,,,,
2026-05-07 00:00:00+05:30,1.0,1.4,0.8,1.15,45500,221200,,,,,
2026-05-08 00:00:00+05:30,1.45,1.45,0.9,0.95,20300,219800,,,,,
2026-05-11 00:00:00+05:30,0.75,1.1,0.75,1.0,157500,202300,,,,,
2026-05-12 00:00:00+05:30,1.1,1.45,1.1,1.2,49700,203000,,,,,
2026-05-13 00:00:00+05:30,1.55,2.25,1.25,1.7,305900,257600,,,,,
2026-05-14 00:00:00+05:30,2.05,2.85,1.95,2.45,427000,342300,,,,,
2026-05-15 00:00:00+05:30,1.95,2.45,0.8,0.9,268800,330400,,,,,
