date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,3.0,3.2,2.75,2.85,30375,81000,0.49301688170667013,-0.10588353291774832,0.003456097924457601,-0.15926879224103274,0.19641511629463884
2026-04-28 00:00:00+05:30,2.65,2.65,2.3,2.3,26325,76950,0.46707685123100395,-0.09462548216031186,0.0034277438950200546,-0.1411459226633108,0.17739580698268673
2026-04-29 00:00:00+05:30,2.2,2.75,2.2,2.6,95175,62775,0.4950587242313847,-0.10099229956768707,0.0034493778556479843,-0.16044438879042702,0.1829809832187096
2026-04-30 00:00:00+05:30,3.25,4.0,2.95,3.15,50625,72900,0.49775947018578953,-0.12112034941086003,0.004046598774248565,-0.184035489719024,0.20128423597215983
2026-05-04 00:00:00+05:30,2.65,2.65,2.05,2.45,97200,117450,0.4952806923822481,-0.10663544347483689,0.004044988636607062,-0.18243739171475817,0.16876923832289084
2026-05-05 00:00:00+05:30,2.0,2.6,2.0,2.4,58725,109350,,,,,
2026-05-06 00:00:00+05:30,1.8,1.8,1.2,1.2,72900,85050,,,,,
2026-05-07 00:00:00+05:30,1.4,1.65,1.1,1.1,18225,81000,,,,,
2026-05-08 00:00:00+05:30,1.35,1.35,1.3,1.3,4050,83025,,,,,
2026-05-11 00:00:00+05:30,1.3,1.3,1.3,1.3,0,83025,,,,,
2026-05-12 00:00:00+05:30,2.7,2.8,1.6,2.2,186300,135675,,,,,
2026-05-13 00:00:00+05:30,1.55,1.75,0.8,0.9,131625,139725,,,,,
2026-05-14 00:00:00+05:30,1.0,1.65,1.0,1.05,81000,129600,,,,,
2026-05-15 00:00:00+05:30,1.5,1.5,1.0,1.2,64800,137700,,,,,
