date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,0.65,0.65,0.65,0.65,0,0,0.16181352616631253,0.01723396642805749,0.00040166538950941403,-0.08512959190182359,0.279938249768532
2026-04-28 00:00:00+05:30,0.65,0.65,0.65,0.65,0,0,0.18925070130317392,0.015478352157068302,0.0003241905284164846,-0.08956966560888745,0.24670859639488057
2026-04-29 00:00:00+05:30,0.65,0.65,0.65,0.65,0,0,0.1770856483136407,0.016515311738660613,0.00036897271340795426,-0.09159251072330558,0.2588960096706136
2026-05-04 00:00:00+05:30,2.95,3.0,2.2,2.55,6900,6300,,,,,
2026-05-05 00:00:00+05:30,3.55,3.55,1.85,2.2,17100,15900,,,,,
2026-05-06 00:00:00+05:30,3.4,3.4,1.5,2.1,11700,16800,,,,,
2026-05-07 00:00:00+05:30,2.1,2.1,2.1,2.1,0,16800,,,,,
2026-05-08 00:00:00+05:30,1.45,1.65,1.3,1.65,10800,16500,,,,,
2026-05-11 00:00:00+05:30,1.45,1.5,1.05,1.45,10500,16500,,,,,
2026-05-12 00:00:00+05:30,0.95,1.05,0.9,1.0,4800,16500,,,,,
2026-05-13 00:00:00+05:30,0.95,1.3,0.95,1.15,2100,16500,,,,,
2026-05-14 00:00:00+05:30,1.05,1.05,0.9,1.0,1500,16200,,,,,
2026-05-15 00:00:00+05:30,1.1,1.1,1.0,1.1,4200,16200,,,,,
