date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,172.7,172.7,172.7,172.7,0,0,0.8995088297683091,0.6465627033036694,0.0011156165595643558,-2.255856739185901,1.3768364248077736
2026-04-28 00:00:00+05:30,90.3,90.3,69.0,71.85,42000,37100,0.25396721816826334,0.7549243350150687,0.003459657301848318,-0.6711583217737312,1.1251254225358662
2026-04-29 00:00:00+05:30,66.0,72.35,60.0,61.55,28000,45500,0.24105584123149476,0.7265076106009467,0.003962218303909623,-0.6723185393808984,1.1593784371291076
2026-04-30 00:00:00+05:30,50.0,52.7,46.8,48.85,156100,95200,0.24230511444332706,0.6528462733154807,0.004519864512826594,-0.7184263459585065,1.2452318671717573
2026-05-04 00:00:00+05:30,52.85,59.5,48.95,51.15,79800,103600,,,,,
2026-05-05 00:00:00+05:30,44.55,44.55,34.15,37.2,714700,282800,,,,,
2026-05-06 00:00:00+05:30,45.0,58.0,36.85,55.4,620900,298900,,,,,
2026-05-07 00:00:00+05:30,52.7,63.5,48.95,50.85,270900,285600,,,,,
2026-05-08 00:00:00+05:30,43.15,43.2,39.1,41.45,195300,302400,,,,,
2026-05-11 00:00:00+05:30,36.95,47.55,34.2,42.1,419300,304500,,,,,
2026-05-12 00:00:00+05:30,36.7,37.25,23.95,25.7,2566200,1127700,,,,,
2026-05-13 00:00:00+05:30,27.0,29.6,19.2,22.1,5207300,1183700,,,,,
2026-05-14 00:00:00+05:30,25.1,32.3,20.5,25.05,3577000,1141700,,,,,
2026-05-15 00:00:00+05:30,27.75,29.2,22.25,23.15,3238200,914200,,,,,
