date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,153.55,153.55,153.55,153.55,0,0,0.9013454170400549,0.4983279578133204,0.000886883343855449,-3.2237591764770315,1.9909243083939194
2026-04-28 00:00:00+05:30,153.55,153.55,153.55,153.55,0,0,0.9146513984588511,0.49890549932971984,0.0008888030737670564,-3.327666910061737,1.9577431459482173
2026-04-29 00:00:00+05:30,27.25,28.0,24.25,25.15,3250,1625,0.25427690858295476,0.3256967123836349,0.002941826695117568,-0.915079983205681,1.734745728646626
2026-04-30 00:00:00+05:30,23.5,23.5,15.85,19.15,33800,15925,0.23705120965245496,0.28465480348293903,0.0030416225382446788,-0.8138668344675176,1.5967286994051682
2026-05-04 00:00:00+05:30,18.65,21.7,12.55,14.7,30225,18200,0.24053446024027797,0.24582411601923637,0.0030356583595171826,-0.8168455754540057,1.3583280208083854
2026-05-05 00:00:00+05:30,14.7,16.25,12.6,15.65,47450,31525,,,,,
2026-05-06 00:00:00+05:30,16.8,33.6,16.35,29.0,196300,58825,,,,,
2026-05-07 00:00:00+05:30,27.45,57.0,27.45,47.65,511550,76700,,,,,
2026-05-08 00:00:00+05:30,47.95,47.95,21.0,30.8,337675,86775,,,,,
2026-05-11 00:00:00+05:30,24.95,36.3,20.65,29.9,173875,89050,,,,,
2026-05-12 00:00:00+05:30,28.45,28.5,10.05,10.85,122525,98150,,,,,
2026-05-13 00:00:00+05:30,12.95,21.0,8.1,16.65,78325,94250,,,,,
2026-05-14 00:00:00+05:30,22.0,39.05,15.4,36.5,208650,94250,,,,,
2026-05-15 00:00:00+05:30,32.85,40.0,24.5,27.45,158275,117325,,,,,
