date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,20.45,22.4,19.75,20.4,187775,183150,0.3301163426226071,0.537348557853812,0.008215094464320477,-0.3771909719875865,0.5817320678336182
2026-04-28 00:00:00+05:30,20.95,21.2,16.1,19.8,336700,344100,0.3172849575371309,0.5448696156759992,0.008665767394243703,-0.37080701505472047,0.5715399319643503
2026-04-29 00:00:00+05:30,20.3,24.65,20.1,20.3,254375,337625,0.29473526752911877,0.5808171850280716,0.009295779498077266,-0.3547574441904065,0.5572259890154453
2026-04-30 00:00:00+05:30,16.25,17.15,14.4,15.0,421800,358900,0.3061664475599403,0.48082697847060224,0.00949016864902084,-0.36309319356492514,0.5464931600678673
2026-05-04 00:00:00+05:30,16.15,28.35,15.5,27.35,522625,340400,0.3323976254272767,0.6736018011141527,0.008249700821307236,-0.4174943226552211,0.4740519913475129
2026-05-05 00:00:00+05:30,27.25,29.35,22.95,26.15,86950,318200,,,,,
2026-05-06 00:00:00+05:30,30.6,37.7,28.9,37.35,73075,301550,,,,,
2026-05-07 00:00:00+05:30,37.55,51.05,37.55,46.7,170200,260850,,,,,
2026-05-08 00:00:00+05:30,50.0,52.0,49.95,52.0,12950,259925,,,,,
2026-05-11 00:00:00+05:30,49.0,52.0,49.0,51.5,5550,256225,,,,,
2026-05-12 00:00:00+05:30,29.35,29.9,29.35,29.65,15725,242350,,,,,
2026-05-13 00:00:00+05:30,32.4,33.1,27.6,28.35,38850,222925,,,,,
2026-05-14 00:00:00+05:30,31.65,31.65,24.8,26.5,55500,226625,,,,,
2026-05-15 00:00:00+05:30,25.7,25.7,20.5,21.4,68450,237725,,,,,
