date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,0.3,0.3,0.15,0.2,111300,64925,0.5092604611999235,-0.04560273306183649,0.009498032227124994,-0.016055851728403958,0.018976610267594833
2026-04-28 00:00:00+05:30,0.17,0.19,0.16,0.16,120575,55650,0.4573920679074074,-0.0429624728324588,0.010490063825057919,-0.013638758762091103,0.017376880854488155
2026-04-29 00:00:00+05:30,0.15,0.15,0.09,0.09,102025,102025,0.4508901939333342,-0.026336702908241083,0.007096611236752354,-0.009380756670256864,0.011647911312822494
2026-04-30 00:00:00+05:30,0.09,0.09,0.09,0.09,9275,102025,0.44735294670534703,-0.02716313306106566,0.007534275425691942,-0.009664084063353444,0.011643667716194508
2026-05-04 00:00:00+05:30,0.07,0.07,0.04,0.06,37100,92750,0.45235176918437286,-0.02031910222137845,0.006349648114059745,-0.008356826773288192,0.008383964693047986
2026-05-05 00:00:00+05:30,0.07,0.07,0.07,0.07,18550,111300,,,,,
2026-05-06 00:00:00+05:30,0.07,0.07,0.07,0.07,0,111300,,,,,
2026-05-07 00:00:00+05:30,0.07,0.07,0.07,0.07,0,111300,,,,,
2026-05-08 00:00:00+05:30,0.07,0.07,0.07,0.07,0,111300,,,,,
2026-05-11 00:00:00+05:30,0.05,0.05,0.05,0.05,18550,111300,,,,,
2026-05-12 00:00:00+05:30,0.05,0.07,0.05,0.07,55650,120575,,,,,
2026-05-13 00:00:00+05:30,0.06,0.06,0.06,0.06,9275,120575,,,,,
2026-05-14 00:00:00+05:30,0.06,0.06,0.06,0.06,0,120575,,,,,
2026-05-15 00:00:00+05:30,0.06,0.06,0.06,0.06,18550,129850,,,,,
