date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,6.27,6.78,5.21,6.49,570000,307500,0.341030600839035,0.6199406434068291,0.0313257973420313,-0.09260451356726687,0.13571826060350703
2026-04-28 00:00:00+05:30,6.57,6.59,6.13,6.17,67500,326250,0.34740222567466306,0.603058210474962,0.03181692345319112,-0.09585750974732486,0.13448793473988171
2026-04-29 00:00:00+05:30,6.0,6.27,5.52,5.58,221250,446250,0.3047767079423694,0.616866841732819,0.036531021195845566,-0.08670968299585471,0.1308579722178679
2026-04-30 00:00:00+05:30,4.46,5.26,4.2,5.08,585000,682500,0.3128071950661602,0.5837922739236331,0.03732504566527701,-0.09052025098784834,0.13034574062829044
2026-05-04 00:00:00+05:30,4.87,5.94,4.87,5.76,258750,701250,0.30859704976678215,0.6561599218193992,0.038252470371860456,-0.0942600667836234,0.11470525449678648
2026-05-05 00:00:00+05:30,5.0,6.4,5.0,5.81,300000,678750,,,,,
2026-05-06 00:00:00+05:30,6.05,6.9,6.05,6.74,75000,648750,,,,,
2026-05-07 00:00:00+05:30,7.1,9.78,7.05,9.53,142500,581250,,,,,
2026-05-08 00:00:00+05:30,9.53,9.53,9.53,9.53,0,581250,,,,,
2026-05-11 00:00:00+05:30,8.0,11.99,6.48,6.57,101250,551250,,,,,
2026-05-12 00:00:00+05:30,5.8,6.51,4.12,4.3,243750,547500,,,,,
2026-05-13 00:00:00+05:30,3.8,5.5,3.75,4.88,101250,551250,,,,,
2026-05-14 00:00:00+05:30,5.0,5.39,3.93,4.87,247500,506250,,,,,
2026-05-15 00:00:00+05:30,4.05,4.28,3.57,3.64,82500,491250,,,,,
