date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,5.05,5.05,5.05,5.05,0,0,0.3282681764967272,0.1266597089567305,0.0024943509605587924,-0.31775157125112197,0.5271342650837488
2026-04-28 00:00:00+05:30,5.05,5.05,5.05,5.05,0,0,0.37007302075381415,0.11840277051761283,0.0021831175433149387,-0.338957904159967,0.4860219531421599
2026-04-29 00:00:00+05:30,5.05,5.05,5.05,5.05,0,0,0.3070194129042892,0.13566375393938807,0.0028551449968240088,-0.32899264935926226,0.5414017871645145
2026-05-07 00:00:00+05:30,4.9,7.3,4.9,7.1,7000,4900,,,,,
2026-05-08 00:00:00+05:30,6.75,9.75,6.1,7.85,90300,47600,,,,,
2026-05-11 00:00:00+05:30,4.75,4.75,3.05,3.15,39900,65100,,,,,
2026-05-12 00:00:00+05:30,1.95,1.95,1.2,1.25,21700,49000,,,,,
2026-05-13 00:00:00+05:30,1.25,1.5,1.0,1.05,23100,42700,,,,,
2026-05-14 00:00:00+05:30,1.05,1.5,0.8,1.4,23800,28700,,,,,
2026-05-15 00:00:00+05:30,1.4,1.4,1.4,1.4,0,28700,,,,,
