date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,11.95,12.05,9.0,9.4,887400,1263100,0.3467481545203974,0.367372746622737,0.009579989981320598,-0.2800159284846567,0.42715393530834944
2026-04-28 00:00:00+05:30,12.4,17.5,12.05,15.0,7658500,1938000,0.368032969687979,0.48306670192691037,0.00944607561332213,-0.3332684079236724,0.4569819899104423
2026-04-29 00:00:00+05:30,15.9,18.1,13.35,14.15,8192300,2089300,0.35710799417391986,0.47903945184570457,0.00991013643648098,-0.3293726342408137,0.44847780876387205
2026-04-30 00:00:00+05:30,11.25,13.15,10.6,11.3,4027300,2866200,0.34057780973736734,0.43248185336712625,0.01055219164916841,-0.3113435963201107,0.43023058741415315
2026-05-04 00:00:00+05:30,12.55,13.0,4.0,5.3,11240400,4047700,0.30668946582518136,0.29115563477481926,0.011379550180826424,-0.2546979561991268,0.3369895641644089
2026-05-05 00:00:00+05:30,4.95,8.45,4.35,5.75,5788500,3196000,,,,,
2026-05-06 00:00:00+05:30,6.5,9.0,6.2,6.8,6403900,3505400,,,,,
2026-05-07 00:00:00+05:30,6.65,7.2,4.75,5.35,5723900,3984800,,,,,
2026-05-08 00:00:00+05:30,5.9,6.5,4.0,6.1,3918500,3714500,,,,,
2026-05-11 00:00:00+05:30,4.5,9.4,3.9,7.35,10154100,3954200,,,,,
2026-05-12 00:00:00+05:30,7.5,7.5,3.65,4.0,3111000,3899800,,,,,
2026-05-13 00:00:00+05:30,4.85,9.5,4.05,8.1,10030000,4346900,,,,,
2026-05-14 00:00:00+05:30,8.8,12.45,8.1,11.2,10548500,3869200,,,,,
2026-05-15 00:00:00+05:30,11.95,18.0,10.05,14.65,6636800,2074000,,,,,
