date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,3.97,3.97,3.17,3.17,7150,10725,0.5084987169388129,0.3433615033795365,0.024651216576393898,-0.10040504002336025,0.1079074349723998
2026-04-28 00:00:00+05:30,3.0,3.0,2.86,2.95,14300,14300,0.5295219523112755,0.32303951217834903,0.02375031428210349,-0.10231634612383592,0.10249036721713725
2026-04-29 00:00:00+05:30,3.65,3.65,2.29,2.31,32175,28600,0.5016255453738582,0.28487600481494335,0.02434595503434874,-0.09240836101230092,0.09433962780001269
2026-04-30 00:00:00+05:30,2.31,2.31,2.31,2.31,0,28600,0.5496610035392869,0.27320545237492433,0.02245811923426217,-0.09922262505833956,0.089611023928841
2026-05-04 00:00:00+05:30,2.99,2.99,1.86,2.48,125125,85800,0.5378057594264429,0.30472117547537736,0.025651360588470354,-0.11378874004429715,0.08886663315254946
2026-05-05 00:00:00+05:30,3.08,3.75,2.04,2.59,378950,125125,,,,,
2026-05-06 00:00:00+05:30,2.9,3.55,2.79,3.24,239525,228800,,,,,
2026-05-07 00:00:00+05:30,2.69,3.13,2.39,3.02,114400,225225,,,,,
2026-05-08 00:00:00+05:30,3.1,3.46,2.07,2.1,729300,429000,,,,,
2026-05-11 00:00:00+05:30,1.67,1.67,1.21,1.23,235950,414700,,,,,
2026-05-12 00:00:00+05:30,0.8,0.8,0.54,0.57,314600,289575,,,,,
2026-05-13 00:00:00+05:30,0.64,0.84,0.64,0.68,214500,260975,,,,,
2026-05-14 00:00:00+05:30,0.75,0.78,0.52,0.64,110825,250250,,,,,
2026-05-15 00:00:00+05:30,0.6,0.61,0.49,0.61,32175,253825,,,,,
