date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,16.7,16.7,16.7,16.7,0,3200,0.2730277236065036,-0.6791831741185784,0.015309281943642658,-0.10460767485506488,0.30660920160138455
2026-04-28 00:00:00+05:30,15.05,15.55,14.25,14.3,72000,38400,0.20860103403445396,-0.7294823503176971,0.01881540436454725,-0.06186042784835481,0.2790789862869451
2026-04-29 00:00:00+05:30,10.0,10.45,6.65,7.25,2704000,548800,0.21535918928378492,-0.48244111222840236,0.02151591129922855,-0.10825625554046157,0.3428112936100257
2026-04-30 00:00:00+05:30,8.2,8.9,6.8,7.9,2403200,552000,0.2179374498326686,-0.5130351902773297,0.021768744722413726,-0.11027242064294579,0.3351128305133515
2026-05-04 00:00:00+05:30,7.05,9.95,6.0,9.3,1787200,625600,,,,,
2026-05-05 00:00:00+05:30,9.45,10.2,7.4,8.65,768000,707200,,,,,
2026-05-06 00:00:00+05:30,9.2,10.05,7.65,8.5,673600,566400,,,,,
2026-05-07 00:00:00+05:30,9.05,11.15,8.95,10.85,232000,542400,,,,,
2026-05-08 00:00:00+05:30,11.4,12.25,10.55,10.95,65600,534400,,,,,
2026-05-11 00:00:00+05:30,11.25,12.65,11.05,12.55,17600,537600,,,,,
2026-05-12 00:00:00+05:30,14.0,16.65,14.0,16.5,83200,518400,,,,,
2026-05-13 00:00:00+05:30,15.65,15.65,12.9,13.85,54400,537600,,,,,
2026-05-14 00:00:00+05:30,10.0,11.4,9.75,11.35,121600,588800,,,,,
2026-05-15 00:00:00+05:30,9.4,10.0,8.0,9.75,100800,611200,,,,,
