date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,7.5,7.5,7.5,7.5,0,4000,0.5625471547138796,-0.1483656446753574,0.0025439131397150296,-0.34659726760051784,0.37435827050117815
2026-04-28 00:00:00+05:30,7.5,7.5,7.5,7.5,0,4000,0.6002839042940199,-0.14105500791880177,0.0023163406345336228,-0.3699022866662437,0.3599374572360224
2026-04-29 00:00:00+05:30,7.5,7.5,7.5,7.5,0,4000,0.5253881400506779,-0.16514749487197666,0.003101679322818877,-0.3505077939675406,0.3785683591728065
2026-04-30 00:00:00+05:30,7.5,7.5,7.5,7.5,0,4000,0.5382458950800365,-0.1642363208263824,0.003070110874177928,-0.36591570362823905,0.3706578517109051
2026-05-04 00:00:00+05:30,7.5,7.5,7.5,7.5,0,4000,0.588582503007235,-0.16315997126684456,0.0030329124660982295,-0.4374063929240797,0.34019913661725076
2026-05-05 00:00:00+05:30,7.5,7.5,7.5,7.5,0,4000,,,,,
2026-05-06 00:00:00+05:30,7.5,7.5,7.5,7.5,0,4000,,,,,
2026-05-07 00:00:00+05:30,7.5,7.5,7.5,7.5,0,4000,,,,,
2026-05-08 00:00:00+05:30,7.5,7.5,7.5,7.5,0,4000,,,,,
2026-05-11 00:00:00+05:30,3.0,3.0,3.0,3.0,1000,5000,,,,,
2026-05-12 00:00:00+05:30,10.75,10.75,4.9,6.85,276000,40000,,,,,
2026-05-13 00:00:00+05:30,6.85,7.8,4.7,7.0,218000,25000,,,,,
2026-05-14 00:00:00+05:30,7.05,8.2,4.9,5.35,102000,35000,,,,,
2026-05-15 00:00:00+05:30,7.3,7.3,3.15,4.3,187000,37000,,,,,
