date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,14.95,25.75,12.7,24.4,975000,284000,0.40164688407224297,0.5029099230813597,0.006141026900743672,-0.49385921724486576,0.6452256490817969
2026-04-28 00:00:00+05:30,27.0,30.4,23.65,27.8,1462000,355000,0.4044726285262572,0.5455253462726403,0.006090414858359741,-0.5120627577576601,0.6376816700389005
2026-04-29 00:00:00+05:30,32.0,32.0,15.95,16.95,833000,639000,0.396278405438888,0.4127571250517687,0.0064464752990362716,-0.47368193066873615,0.5934578551476402
2026-04-30 00:00:00+05:30,15.5,17.7,13.0,17.0,553000,643000,0.40001498176662637,0.41577174054502875,0.006510112707291938,-0.4878620650583774,0.584121487792247
2026-05-04 00:00:00+05:30,17.0,17.0,12.9,15.55,513000,647000,0.40188119687714036,0.4109588772052023,0.007010977594361119,-0.5288239966891495,0.5369603891802909
2026-05-05 00:00:00+05:30,15.55,18.1,13.15,14.2,489000,629000,,,,,
2026-05-06 00:00:00+05:30,17.35,17.5,13.35,15.45,415000,672000,,,,,
2026-05-07 00:00:00+05:30,16.05,20.45,15.0,18.25,1500000,775000,,,,,
2026-05-08 00:00:00+05:30,18.25,18.8,13.35,15.15,781000,852000,,,,,
2026-05-11 00:00:00+05:30,14.6,15.05,8.65,10.65,4262000,1451000,,,,,
2026-05-12 00:00:00+05:30,10.0,10.0,1.6,1.7,2868000,1349000,,,,,
2026-05-13 00:00:00+05:30,1.9,2.05,1.15,1.25,780000,1398000,,,,,
2026-05-14 00:00:00+05:30,1.55,1.55,0.8,0.9,672000,1190000,,,,,
2026-05-15 00:00:00+05:30,0.8,1.4,0.7,0.95,463000,1092000,,,,,
