date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,22.7,22.7,14.6,16.2,61425,40500,0.2992574137851472,-0.24273526939701684,0.0028909102026172507,-0.5251826704262806,1.130927704441817
2026-04-28 00:00:00+05:30,12.65,17.65,12.65,17.1,27675,53325,0.30964617165155406,-0.24971731376190776,0.00288941716611392,-0.563300082971013,1.1273171860434947
2026-04-29 00:00:00+05:30,19.6,22.25,13.7,14.15,43875,58725,0.2834900577488949,-0.23559849579214653,0.003118837945774457,-0.5060812420493519,1.071070064906575
2026-04-30 00:00:00+05:30,18.7,21.5,16.45,16.75,106650,78300,0.27642293222169373,-0.2791889972445579,0.0036032928429507397,-0.5372107203064113,1.1344667703392173
2026-05-04 00:00:00+05:30,14.0,17.95,13.75,15.55,73575,78975,,,,,
2026-05-05 00:00:00+05:30,18.8,21.7,17.05,18.35,92475,78300,,,,,
2026-05-06 00:00:00+05:30,16.4,16.95,10.5,11.25,76275,79650,,,,,
2026-05-07 00:00:00+05:30,13.5,13.5,9.0,10.25,79650,76950,,,,,
2026-05-08 00:00:00+05:30,10.9,13.8,10.15,11.35,43200,77625,,,,,
2026-05-11 00:00:00+05:30,11.35,15.05,10.6,14.55,60750,70200,,,,,
2026-05-12 00:00:00+05:30,16.9,19.0,13.55,17.15,73575,70200,,,,,
2026-05-13 00:00:00+05:30,14.15,15.95,10.15,11.85,106650,62100,,,,,
2026-05-14 00:00:00+05:30,9.0,9.1,6.6,8.35,172800,79650,,,,,
2026-05-15 00:00:00+05:30,4.9,8.35,4.0,6.05,269325,93150,,,,,
