date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,11.05,11.15,11.05,11.15,3750,8750,0.3338743352780135,0.3724903765540687,0.008288379651364416,-0.3280277302220389,0.5173927691296014
2026-04-28 00:00:00+05:30,9.95,10.85,8.9,10.4,70000,33750,0.344909899798178,0.3522281843930413,0.00805604606091519,-0.3339164551700869,0.49602934007749255
2026-04-29 00:00:00+05:30,10.85,11.4,9.35,10.95,120000,72500,0.34098575017801136,0.3712217443818582,0.008396315496595358,-0.3452311891201071,0.49899411414302386
2026-04-30 00:00:00+05:30,8.0,9.6,6.9,9.1,38750,82500,0.35863681352857074,0.3210663824607236,0.007817112256127629,-0.34122890777198595,0.457432574173349
2026-05-04 00:00:00+05:30,9.35,9.6,7.1,7.5,96250,82500,0.36968835260956695,0.2898564572889273,0.00791477907126911,-0.3595585121637837,0.4002652492708166
2026-05-05 00:00:00+05:30,7.5,7.5,7.5,7.5,0,82500,,,,,
2026-05-06 00:00:00+05:30,5.25,6.05,3.9,6.0,38750,78750,,,,,
2026-05-07 00:00:00+05:30,5.5,6.5,4.25,6.35,51250,82500,,,,,
2026-05-08 00:00:00+05:30,5.65,6.2,5.15,5.65,20000,82500,,,,,
2026-05-11 00:00:00+05:30,3.4,3.6,2.95,3.1,18750,77500,,,,,
2026-05-12 00:00:00+05:30,1.2,1.3,1.15,1.2,8750,75000,,,,,
2026-05-13 00:00:00+05:30,1.25,1.75,1.15,1.5,56250,67500,,,,,
2026-05-14 00:00:00+05:30,1.4,2.55,1.15,2.15,78750,78750,,,,,
2026-05-15 00:00:00+05:30,2.15,2.35,1.95,2.0,6250,80000,,,,,
