date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,17.05,17.05,13.3,14.2,177425,244400,0.46349567021959237,-0.358789759759752,0.006914659242522559,-0.31922267236660457,0.4357000953932358
2026-04-28 00:00:00+05:30,14.5,14.55,11.65,12.7,183300,265550,0.42754908161201616,-0.35783841287720874,0.007640119359794132,-0.297213767688123,0.426692478261384
2026-04-29 00:00:00+05:30,11.85,12.9,9.3,11.95,568700,385400,0.41466139391918094,-0.3557946739185551,0.008010866439203587,-0.29265041543441794,0.4179085988503595
2026-04-30 00:00:00+05:30,12.8,15.7,10.7,11.6,1398250,459425,0.41635277374398816,-0.3521221917563011,0.008093411933826278,-0.2994725643746218,0.40892885367289744
2026-05-04 00:00:00+05:30,11.6,12.3,9.4,10.85,663875,521700,0.4348006026108091,-0.34587051114507683,0.008358965498702143,-0.34238899968032444,0.3741995810690327
2026-05-05 00:00:00+05:30,11.35,13.75,10.75,12.65,692075,572225,,,,,
2026-05-06 00:00:00+05:30,10.6,11.2,8.6,8.85,498200,582800,,,,,
2026-05-07 00:00:00+05:30,8.65,13.35,8.65,11.75,705000,571050,,,,,
2026-05-08 00:00:00+05:30,12.1,14.9,7.1,8.7,4690600,977600,,,,,
2026-05-11 00:00:00+05:30,12.3,27.4,12.0,23.55,5480200,770800,,,,,
2026-05-12 00:00:00+05:30,25.9,42.6,25.1,41.4,740250,663875,,,,,
2026-05-13 00:00:00+05:30,51.6,60.1,43.0,47.05,368950,666225,,,,,
2026-05-14 00:00:00+05:30,47.0,50.25,38.3,39.75,88125,639200,,,,,
2026-05-15 00:00:00+05:30,46.2,46.4,45.5,45.8,5875,634500,,,,,
