date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,30.0,36.0,30.0,36.0,200,200,0.6916431413764204,-0.08790484324767434,0.00019515164626136134,-2.177459671085431,1.8864139077506432
2026-04-28 00:00:00+05:30,31.0,33.0,31.0,33.0,500,500,0.6404855881325506,-0.0907479911099538,0.0002248189417498317,-2.048420842467422,1.8540359676670393
2026-04-29 00:00:00+05:30,28.0,28.0,20.45,21.3,28400,24300,0.5886696211488318,-0.06879120350682344,0.00020120208454771506,-1.561169463615192,1.4817905532639901
2026-04-30 00:00:00+05:30,27.9,29.7,19.5,20.75,9700,23800,0.5630973316834833,-0.07222378919638817,0.00022626863190885552,-1.5518815984344554,1.4845557358789636
2026-05-04 00:00:00+05:30,16.0,20.3,12.5,13.0,22200,15500,0.574099462151015,-0.05087558946795667,0.00018100755258705279,-1.3335873973716963,1.0523211491428246
2026-05-05 00:00:00+05:30,11.45,12.9,9.4,9.45,3500,15500,,,,,
2026-05-06 00:00:00+05:30,9.0,9.0,4.2,4.25,3400,14400,,,,,
2026-05-07 00:00:00+05:30,3.85,4.3,3.75,3.8,4300,11300,,,,,
2026-05-08 00:00:00+05:30,3.0,3.0,2.2,2.5,1900,10300,,,,,
2026-05-11 00:00:00+05:30,1.85,1.85,1.8,1.8,2000,10200,,,,,
2026-05-12 00:00:00+05:30,6.2,16.2,6.0,15.0,16000,15200,,,,,
2026-05-13 00:00:00+05:30,14.0,16.3,9.6,12.2,15900,16000,,,,,
2026-05-14 00:00:00+05:30,32.05,274.8,31.2,248.9,1399500,144600,,,,,
2026-05-15 00:00:00+05:30,256.0,400.0,215.0,284.2,41300,123100,,,,,
