date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,70.0,72.4,65.15,65.15,600,400,0.537166584441209,0.19771375332794083,0.0004378131882353951,-3.1801875157881505,3.2868548372758886
2026-04-28 00:00:00+05:30,51.3,51.3,51.3,51.3,200,200,0.5592642894883566,0.16360119994605105,0.0003890066770586245,-2.907783367793444,2.8012381932325816
2026-04-29 00:00:00+05:30,51.3,51.3,51.3,51.3,0,200,0.5606537447976693,0.16504140125476857,0.0003959077243587541,-2.9949188155279605,2.7769715091967884
2026-04-30 00:00:00+05:30,31.3,31.3,26.9,27.75,300,200,0.5121665925926746,0.10998235742458173,0.0003400826140120767,-2.073176951422383,2.029478076239936
2026-05-04 00:00:00+05:30,27.75,27.75,27.75,27.75,0,200,0.5263434964135513,0.11368173526870406,0.0003634664604023555,-2.395512012296541,1.937305293849801
2026-05-05 00:00:00+05:30,27.75,27.75,27.75,27.75,0,200,,,,,
2026-05-06 00:00:00+05:30,39.0,59.5,37.9,49.15,3800,1500,,,,,
2026-05-07 00:00:00+05:30,66.15,66.15,48.85,56.05,7700,3500,,,,,
2026-05-08 00:00:00+05:30,56.05,104.1,53.4,85.5,43300,22300,,,,,
2026-05-11 00:00:00+05:30,85.55,93.0,52.4,53.15,11100,25800,,,,,
2026-05-12 00:00:00+05:30,36.25,41.7,16.3,17.2,6700,26200,,,,,
2026-05-13 00:00:00+05:30,24.4,35.55,20.25,27.6,13800,26000,,,,,
2026-05-14 00:00:00+05:30,3.25,5.25,2.6,4.95,62900,6500,,,,,
2026-05-15 00:00:00+05:30,4.95,4.95,4.95,4.95,0,6500,,,,,
