date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,42.5,63.9,42.5,53.45,21350,10850,0.4135081904930473,0.1818683444198722,0.0004634941394127393,-2.743450069879229,3.6393202259363324
2026-04-28 00:00:00+05:30,56.0,74.35,56.0,69.7,23275,17500,0.42362340195074094,0.22039658877686708,0.0005087881993110742,-3.265862767454671,4.076037209986468
2026-04-29 00:00:00+05:30,74.35,97.45,61.05,64.05,108500,26950,0.4337103050423244,0.20644146938979457,0.0004900906110799697,-3.245860655825517,3.829627542900289
2026-04-30 00:00:00+05:30,59.85,59.85,28.7,48.8,51625,27650,0.4404340724515151,0.1688757441888949,0.00044129519789045616,-2.9042949095715134,3.266752353740206
2026-05-04 00:00:00+05:30,51.2,77.75,40.0,70.15,335475,113750,0.42495729555645234,0.23801195384136725,0.0005863993499638761,-3.9135857023547325,3.8430651972277166
2026-05-05 00:00:00+05:30,40.05,71.5,17.8,39.75,751625,111650,,,,,
2026-05-06 00:00:00+05:30,49.05,78.5,44.5,55.25,470225,119525,,,,,
2026-05-07 00:00:00+05:30,50.0,78.0,28.0,53.0,586250,109375,,,,,
2026-05-08 00:00:00+05:30,57.0,62.0,40.0,43.05,181650,115150,,,,,
2026-05-11 00:00:00+05:30,45.25,69.2,35.0,39.65,156800,133700,,,,,
2026-05-12 00:00:00+05:30,39.65,57.45,19.35,20.75,160650,135100,,,,,
2026-05-13 00:00:00+05:30,23.0,23.0,8.0,11.2,222600,130375,,,,,
2026-05-14 00:00:00+05:30,11.25,30.0,7.65,27.6,196875,133875,,,,,
2026-05-15 00:00:00+05:30,35.95,44.2,14.85,16.85,131775,133875,,,,,
