date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,93.1,93.1,93.1,93.1,0,0,1.0404203039317113,-0.3917311390271513,0.0013635919442090945,-1.782396423615621,1.040228512133571
2026-04-28 00:00:00+05:30,93.1,93.1,93.1,93.1,0,0,1.0341717627055405,-0.40074962031552497,0.0014137868835592362,-1.8024160769167394,1.0218653098281065
2026-04-29 00:00:00+05:30,38.0,38.0,28.0,28.85,10000,7000,0.49036969168216127,-0.3174997581014012,0.0027345806856519032,-0.799946350744145,0.947416751147826
2026-04-30 00:00:00+05:30,38.8,79.95,26.3,74.3,445500,65500,0.5995396588788199,-0.5500966659804386,0.002761512852070592,-0.9899241781187561,0.9461731445179169
2026-05-04 00:00:00+05:30,73.7,99.2,70.6,92.0,9000,63000,0.6313812383879931,-0.6452329622190542,0.0027793117600071523,-1.0172013673651061,0.789470619079629
2026-05-05 00:00:00+05:30,86.0,86.0,54.15,68.25,29000,61500,,,,,
2026-05-06 00:00:00+05:30,68.25,68.25,68.25,68.25,0,61500,,,,,
2026-05-07 00:00:00+05:30,26.85,39.95,26.0,30.2,94500,85000,,,,,
2026-05-08 00:00:00+05:30,35.25,37.95,30.2,35.05,28000,82500,,,,,
2026-05-11 00:00:00+05:30,39.2,50.0,39.2,49.3,7000,77500,,,,,
2026-05-12 00:00:00+05:30,67.1,77.75,66.45,77.55,3500,76000,,,,,
2026-05-13 00:00:00+05:30,77.55,77.55,77.55,77.55,0,76000,,,,,
2026-05-14 00:00:00+05:30,109.45,109.45,109.45,109.45,500,75500,,,,,
2026-05-15 00:00:00+05:30,109.45,109.45,109.45,109.45,0,75500,,,,,
