date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,2.6,3.75,2.6,3.75,74000,68000,0.3498374037281405,-0.17811037568896826,0.007015369080494659,-0.15436746187585598,0.2768494641704237
2026-04-28 00:00:00+05:30,3.45,3.45,2.65,3.3,138000,148000,0.34605167840026146,-0.16445167259230742,0.006837779070918547,-0.148573344954615,0.2592924616549369
2026-04-29 00:00:00+05:30,3.3,3.3,2.15,2.95,118000,154000,0.363199594964581,-0.14541783817727638,0.006051793604496548,-0.1491623433549777,0.23726140022532977
2026-04-30 00:00:00+05:30,3.65,3.8,2.55,2.85,94000,164000,0.3733872018849482,-0.14002311710724324,0.0058276029429325076,-0.15345189647112334,0.22772331857200687
2026-05-04 00:00:00+05:30,3.35,3.95,1.75,2.1,684000,308000,,,,,
2026-05-05 00:00:00+05:30,2.1,2.3,1.55,1.85,152000,346000,,,,,
2026-05-06 00:00:00+05:30,1.4,2.3,0.65,0.8,596000,336000,,,,,
2026-05-07 00:00:00+05:30,0.6,0.7,0.55,0.65,42000,322000,,,,,
2026-05-08 00:00:00+05:30,0.8,1.0,0.6,0.65,156000,294000,,,,,
2026-05-11 00:00:00+05:30,0.8,1.0,0.4,0.6,38000,288000,,,,,
2026-05-12 00:00:00+05:30,0.75,0.9,0.6,0.85,28000,282000,,,,,
2026-05-13 00:00:00+05:30,0.7,0.75,0.45,0.75,36000,298000,,,,,
2026-05-14 00:00:00+05:30,0.65,0.65,0.35,0.4,50000,316000,,,,,
2026-05-15 00:00:00+05:30,0.45,0.55,0.25,0.3,172000,258000,,,,,
