date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,12.5,12.5,12.5,12.5,0,0,,,,,
2026-04-28 00:00:00+05:30,12.5,12.5,12.5,12.5,0,0,,,,,
2026-04-29 00:00:00+05:30,12.5,12.5,12.5,12.5,0,0,,,,,
2026-04-30 00:00:00+05:30,12.5,12.5,12.5,12.5,0,0,,,,,
2026-05-04 00:00:00+05:30,15.85,18.8,12.5,15.4,294000,130000,,,,,
2026-05-05 00:00:00+05:30,14.85,17.6,13.9,15.0,146000,148000,,,,,
2026-05-06 00:00:00+05:30,16.05,20.6,11.95,18.95,220000,196000,,,,,
2026-05-07 00:00:00+05:30,18.35,22.65,17.6,20.15,148000,202000,,,,,
2026-05-08 00:00:00+05:30,17.8,21.45,17.4,20.75,56000,188000,,,,,
2026-05-11 00:00:00+05:30,19.7,24.25,16.0,20.9,108000,212000,,,,,
2026-05-12 00:00:00+05:30,19.0,19.25,16.3,16.6,52000,242000,,,,,
2026-05-13 00:00:00+05:30,21.4,22.55,17.9,17.9,36000,236000,,,,,
2026-05-14 00:00:00+05:30,19.85,23.3,16.65,22.6,48000,234000,,,,,
2026-05-15 00:00:00+05:30,26.0,26.0,26.0,26.0,2000,234000,,,,,
