date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,14.7,16.75,13.85,15.35,548000,530000,0.31797063907662776,0.5619288651399175,0.011670365983749884,-0.2644592940249519,0.41859922235836766
2026-04-28 00:00:00+05:30,14.75,19.0,14.2,16.2,718000,620000,0.3292506456180986,0.573856802196463,0.011375951962233224,-0.2770555806224013,0.41043865044436756
2026-04-29 00:00:00+05:30,17.6,20.65,15.5,17.45,582000,606000,0.3067433441903513,0.6259065483464371,0.011889311757797828,-0.263091379550337,0.3936674333593104
2026-04-30 00:00:00+05:30,15.6,22.05,15.15,19.45,906000,648000,0.3442487818502812,0.6310383449671723,0.010711411980847397,-0.29508406266693205,0.3859022027711129
2026-05-04 00:00:00+05:30,15.0,15.85,7.0,8.45,13616000,3036000,,,,,
2026-05-05 00:00:00+05:30,7.95,10.15,7.25,8.0,6466000,3134000,,,,,
2026-05-06 00:00:00+05:30,8.4,11.6,5.8,10.45,12094000,2662000,,,,,
2026-05-07 00:00:00+05:30,10.85,13.2,8.9,11.35,5296000,2250000,,,,,
2026-05-08 00:00:00+05:30,9.0,12.2,7.85,11.85,3580000,1716000,,,,,
2026-05-11 00:00:00+05:30,10.0,15.15,8.2,11.8,2358000,1446000,,,,,
2026-05-12 00:00:00+05:30,10.8,11.3,7.9,8.55,1572000,1576000,,,,,
2026-05-13 00:00:00+05:30,9.65,13.3,8.85,9.25,1248000,1460000,,,,,
2026-05-14 00:00:00+05:30,10.7,13.5,8.0,12.25,1430000,1402000,,,,,
2026-05-15 00:00:00+05:30,11.65,19.7,11.65,15.05,536000,1260000,,,,,
