date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,21.2,22.5,20.05,22.15,90000,72000,0.2873418598433354,-0.6837269044173784,0.011660111227934313,-0.13741680684754096,0.377944920928435
2026-04-28 00:00:00+05:30,19.75,19.9,17.5,19.9,56000,44000,0.25150988400183144,-0.7009035790249041,0.013188024450714375,-0.11252445735656923,0.36347008020838106
2026-04-29 00:00:00+05:30,16.7,19.55,15.8,19.1,174000,76000,0.30420142546582646,-0.619815421822427,0.01204898347151766,-0.177317107425059,0.3956482771621687
2026-04-30 00:00:00+05:30,20.25,20.8,17.45,18.15,150000,114000,0.3049412434292717,-0.6071340945203416,0.012324414013303382,-0.18597546430172301,0.3933150529007759
2026-05-04 00:00:00+05:30,30.0,30.0,22.2,25.05,52000,118000,,,,,
2026-05-05 00:00:00+05:30,25.35,26.35,21.95,24.5,42000,118000,,,,,
2026-05-06 00:00:00+05:30,27.0,27.0,17.6,18.45,68000,128000,,,,,
2026-05-07 00:00:00+05:30,19.55,19.65,15.5,17.1,78000,132000,,,,,
2026-05-08 00:00:00+05:30,19.4,20.2,18.1,19.35,48000,150000,,,,,
2026-05-11 00:00:00+05:30,18.7,21.8,13.0,16.35,156000,168000,,,,,
2026-05-12 00:00:00+05:30,18.2,20.65,17.9,19.85,50000,190000,,,,,
2026-05-13 00:00:00+05:30,14.65,16.6,14.65,16.6,6000,190000,,,,,
2026-05-14 00:00:00+05:30,17.55,18.95,13.25,14.25,112000,190000,,,,,
2026-05-15 00:00:00+05:30,15.25,15.25,8.25,11.6,1286000,404000,,,,,
