date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,110.0,114.9,104.0,105.4,14025,35700,0.386164879606331,-0.8688851439681655,0.0026587500780990516,-0.16110453097662347,0.44104667738075626
2026-04-28 00:00:00+05:30,112.0,115.2,105.7,105.7,16575,50150,0.37924833733449576,-0.8806763863597661,0.002582664791756484,-0.14047486903681675,0.40530444316252917
2026-04-29 00:00:00+05:30,97.8,103.05,91.55,102.65,17850,49725,0.4232368874463965,-0.8416367950600918,0.002836991213264361,-0.2520634462337473,0.4864458785817607
2026-04-30 00:00:00+05:30,89.9,89.9,87.3,88.55,1275,49725,0.4515595410034412,-0.7709981864713784,0.003311207788195104,-0.41289856204336023,0.6136527863656835
2026-05-04 00:00:00+05:30,82.8,86.4,77.0,78.85,40800,60775,0.4405868707218779,-0.7677741057731724,0.003672283644375496,-0.45767073770239064,0.576025672729198
2026-05-05 00:00:00+05:30,78.3,79.3,74.0,75.15,11475,61625,,,,,
2026-05-06 00:00:00+05:30,59.0,115.0,57.95,97.75,66300,68850,,,,,
2026-05-07 00:00:00+05:30,132.0,132.0,128.7,130.6,16575,57800,,,,,
2026-05-08 00:00:00+05:30,140.95,140.95,118.35,118.35,2975,58650,,,,,
2026-05-11 00:00:00+05:30,118.35,118.35,118.35,118.35,0,58650,,,,,
2026-05-12 00:00:00+05:30,118.35,118.35,118.35,118.35,0,58650,,,,,
2026-05-13 00:00:00+05:30,118.35,118.35,118.35,118.35,0,58650,,,,,
2026-05-14 00:00:00+05:30,135.0,137.0,135.0,136.5,11050,57375,,,,,
2026-05-15 00:00:00+05:30,140.7,140.7,140.7,140.7,425,57375,,,,,
