date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,64.0,64.0,53.45,53.6,15300,58650,0.37931229295621943,-0.5136347715152225,0.0033190548637820165,-0.7134757047982575,1.2627032279667152
2026-04-28 00:00:00+05:30,62.9,73.5,58.7,71.5,39950,59500,0.37681712103766557,-0.6277212261946439,0.0033242101778736648,-0.6342143815268535,1.1426041116855594
2026-04-29 00:00:00+05:30,62.25,63.0,57.0,62.6,8500,55250,0.3870305091446995,-0.5747470451923673,0.0033660573080623343,-0.7206813726946473,1.1790341689103825
2026-04-30 00:00:00+05:30,73.5,73.5,56.25,62.15,139400,93500,0.3628822265745161,-0.6039740352026188,0.0036136216615015268,-0.6606251969447013,1.1322023543321482
2026-05-04 00:00:00+05:30,48.5,49.2,21.0,22.3,895050,181050,0.3160975836223821,-0.35038047510577186,0.004093623031570731,-0.6855432163510845,1.0610940069382273
2026-05-05 00:00:00+05:30,22.3,25.0,20.15,21.4,446250,203150,,,,,
2026-05-06 00:00:00+05:30,19.75,21.3,11.7,15.3,741200,168300,,,,,
2026-05-07 00:00:00+05:30,12.8,12.85,7.2,8.75,350200,186150,,,,,
2026-05-08 00:00:00+05:30,9.0,9.0,5.5,5.75,124950,174250,,,,,
2026-05-11 00:00:00+05:30,5.8,6.1,2.65,3.0,148750,168300,,,,,
2026-05-12 00:00:00+05:30,3.15,3.15,2.1,2.55,69700,180200,,,,,
2026-05-13 00:00:00+05:30,2.3,3.5,1.85,1.95,102850,175100,,,,,
2026-05-14 00:00:00+05:30,1.95,1.95,1.2,1.45,86700,147900,,,,,
2026-05-15 00:00:00+05:30,1.45,1.45,1.3,1.3,2550,147050,,,,,
