date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,6.95,9.2,6.9,7.1,69000,45000,0.31300976632487115,-0.24046932979992686,0.006494644298527232,-0.2325817223690398,0.47640685048859105
2026-04-28 00:00:00+05:30,5.95,6.05,5.95,6.05,2000,46000,0.32880451650644993,-0.20545791873436403,0.005680061641354189,-0.2332657778059791,0.43339247772337397
2026-04-29 00:00:00+05:30,5.3,5.3,3.2,3.7,47000,42000,0.32735512513661386,-0.13952887254191904,0.004436880084547126,-0.19119774153589048,0.3395253187619211
2026-04-30 00:00:00+05:30,4.5,5.85,4.4,4.4,31000,36000,0.32064614275044284,-0.16736321304712676,0.0052774558109707935,-0.21138601402738774,0.3708919785413989
2026-05-04 00:00:00+05:30,4.5,4.5,3.7,3.9,11000,41000,0.3426477440386067,-0.15372506524457552,0.005057803731782064,-0.2364315922150063,0.32407837762163527
2026-05-05 00:00:00+05:30,3.6,3.6,3.2,3.2,6000,38000,,,,,
2026-05-06 00:00:00+05:30,2.1,2.45,1.05,1.15,81000,24000,,,,,
2026-05-07 00:00:00+05:30,0.9,0.9,0.85,0.85,11000,23000,,,,,
2026-05-08 00:00:00+05:30,0.85,0.85,0.85,0.85,0,23000,,,,,
2026-05-11 00:00:00+05:30,0.4,0.8,0.4,0.8,21000,23000,,,,,
2026-05-12 00:00:00+05:30,0.6,1.5,0.6,1.4,24000,32000,,,,,
2026-05-13 00:00:00+05:30,1.0,1.0,0.95,0.95,5000,30000,,,,,
2026-05-14 00:00:00+05:30,2.05,2.65,0.3,0.7,234000,34000,,,,,
2026-05-15 00:00:00+05:30,1.0,1.25,0.8,1.2,51000,54000,,,,,
