date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,6.45,6.45,6.45,6.45,0,0,0.15708959710386936,0.29004580272593194,0.009433986697711796,-0.25535339790054035,0.7907618970824526
2026-04-28 00:00:00+05:30,6.45,6.45,6.45,6.45,0,0,0.16706807458309447,0.28135109794415203,0.008917342972251328,-0.2677962655514642,0.7641561283003645
2026-04-29 00:00:00+05:30,6.45,6.45,6.45,6.45,0,0,0.19001565720827798,0.26068873997776065,0.007735790120386619,-0.28912235141204173,0.7177252946129694
2026-04-30 00:00:00+05:30,6.45,6.45,6.45,6.45,0,0,0.2463302153803404,0.22092537630491726,0.005658057008251193,-0.32966026449266844,0.6320659850115431
2026-05-04 00:00:00+05:30,6.45,6.45,6.45,6.45,0,0,0.254231230107077,0.22880151401172316,0.0060482625510149875,-0.3759698215315448,0.5961260317247181
2026-05-05 00:00:00+05:30,6.45,6.45,6.45,6.45,0,0,,,,,
2026-05-06 00:00:00+05:30,6.45,6.45,6.45,6.45,0,0,,,,,
2026-05-07 00:00:00+05:30,6.45,6.45,6.45,6.45,0,0,,,,,
2026-05-08 00:00:00+05:30,6.45,6.45,6.45,6.45,0,0,,,,,
2026-05-11 00:00:00+05:30,6.45,6.45,6.45,6.45,0,0,,,,,
2026-05-12 00:00:00+05:30,1.9,3.15,1.9,2.6,72800,60900,,,,,
2026-05-13 00:00:00+05:30,1.3,3.25,1.3,2.85,51100,97300,,,,,
2026-05-14 00:00:00+05:30,5.2,6.0,4.0,5.75,83300,138600,,,,,
2026-05-15 00:00:00+05:30,6.05,7.3,3.95,4.1,21000,133700,,,,,
