date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,36.0,36.0,29.3,29.3,4550,4725,0.32277310809546733,-0.14773257943680518,0.0006258073237463865,-1.3556924359368552,2.6370896945274094
2026-04-28 00:00:00+05:30,26.85,31.25,26.85,29.35,3325,5600,0.31911844986169424,-0.15202043246735464,0.0006591741658705551,-1.3846284745564221,2.6307849854815766
2026-04-29 00:00:00+05:30,26.5,26.5,15.85,20.7,14350,9975,0.3207539942198115,-0.1145383723382013,0.0005416392123882435,-1.1935384976661665,2.1562254723988854
2026-04-30 00:00:00+05:30,29.45,36.7,29.45,36.7,1225,9975,0.34321100795499915,-0.17703201277780634,0.0007062149516238776,-1.702996336399159,2.781847615912015
2026-05-04 00:00:00+05:30,36.7,36.7,36.7,36.7,0,9975,,,,,
2026-05-05 00:00:00+05:30,36.7,36.7,36.7,36.7,0,9975,,,,,
2026-05-06 00:00:00+05:30,36.7,38.7,13.85,15.3,101500,23975,,,,,
2026-05-07 00:00:00+05:30,13.2,17.7,10.55,11.6,22400,23625,,,,,
2026-05-08 00:00:00+05:30,19.5,22.45,17.9,18.9,15925,20825,,,,,
2026-05-11 00:00:00+05:30,31.0,35.25,19.8,22.7,22750,19425,,,,,
2026-05-12 00:00:00+05:30,26.3,39.5,26.05,37.35,22400,20300,,,,,
2026-05-13 00:00:00+05:30,36.4,39.05,17.0,23.0,45500,17500,,,,,
2026-05-14 00:00:00+05:30,14.7,20.55,12.0,17.95,31675,17850,,,,,
2026-05-15 00:00:00+05:30,22.8,23.4,17.4,21.1,9975,16625,,,,,
