date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,120.0,131.0,112.0,112.5,32375,26600,0.310628776963683,0.44507555036465696,0.0011133527675744328,-2.7193588252494516,4.515037853898754
2026-04-28 00:00:00+05:30,112.05,120.7,89.3,94.0,53725,32025,0.2903592114990276,0.417260160065449,0.0012020734267888563,-2.5466158022827634,4.365156991818254
2026-04-29 00:00:00+05:30,107.5,132.75,100.2,119.45,125125,40250,0.29423750186791614,0.48679105922404003,0.0012163761676250886,-2.7541865642271586,4.441993597968504
2026-04-30 00:00:00+05:30,104.7,104.95,76.9,94.05,53375,36225,0.3259113629936692,0.39797103503991677,0.0011050226845899036,-2.8583400103512804,4.133385540951883
2026-05-04 00:00:00+05:30,113.45,146.2,110.2,113.15,418075,96775,,,,,
2026-05-05 00:00:00+05:30,105.0,105.05,83.55,94.55,222950,95025,,,,,
2026-05-06 00:00:00+05:30,62.4,62.4,22.4,46.0,461650,123725,,,,,
2026-05-07 00:00:00+05:30,49.9,62.8,35.05,42.4,201425,125650,,,,,
2026-05-08 00:00:00+05:30,35.5,37.35,29.05,30.9,117075,161000,,,,,
2026-05-11 00:00:00+05:30,20.7,25.0,16.4,21.85,138250,135275,,,,,
2026-05-12 00:00:00+05:30,16.95,20.7,11.3,11.65,91350,123375,,,,,
2026-05-13 00:00:00+05:30,11.65,19.15,10.05,14.2,55475,115675,,,,,
2026-05-14 00:00:00+05:30,17.05,20.0,13.9,14.3,77350,112000,,,,,
2026-05-15 00:00:00+05:30,11.7,14.45,9.55,10.05,70525,115675,,,,,
