date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,5.69,6.45,3.4,5.79,771750,414000,0.4232145446482096,-0.26179084963854626,0.009481536116699113,-0.17822840167732173,0.26405586626818417
2026-04-28 00:00:00+05:30,6.1,6.24,4.37,5.52,353250,486000,0.39928343822354095,-0.26960857775100666,0.010454456271957837,-0.17176420736452327,0.26152401658349617
2026-04-29 00:00:00+05:30,5.7,5.71,3.85,5.45,452250,634500,0.3995267389149819,-0.2710300287574665,0.01068127589868444,-0.1755192984559264,0.2571631203998629
2026-04-30 00:00:00+05:30,6.7,7.86,5.92,6.47,274500,670500,0.38056472983545225,-0.32818710785831684,0.012717923938489967,-0.17993618198187336,0.26977601396705614
2026-05-04 00:00:00+05:30,6.0,6.0,4.3,4.8,578250,699750,0.41384552128792274,-0.259810649092464,0.01117207060523708,-0.19980176568840766,0.22738939406992503
2026-05-05 00:00:00+05:30,5.0,5.2,3.0,3.2,364500,657000,,,,,
2026-05-06 00:00:00+05:30,2.0,2.3,1.25,1.4,846000,578250,,,,,
2026-05-07 00:00:00+05:30,1.4,1.4,0.85,0.9,216000,571500,,,,,
2026-05-08 00:00:00+05:30,0.9,1.05,0.85,0.9,173250,580500,,,,,
2026-05-11 00:00:00+05:30,1.25,1.45,1.0,1.35,360000,672750,,,,,
2026-05-12 00:00:00+05:30,1.35,4.65,1.3,4.3,2326500,724500,,,,,
2026-05-13 00:00:00+05:30,4.55,4.55,2.6,3.5,337500,724500,,,,,
2026-05-14 00:00:00+05:30,2.25,5.35,2.25,3.1,531000,677250,,,,,
2026-05-15 00:00:00+05:30,4.15,4.7,2.4,2.95,402750,722250,,,,,
