date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,4.89,5.7,2.83,2.91,2099250,1037250,0.37543996691159165,0.18385295219477277,0.008730667867218149,-0.148527310555772,0.21569719718194502
2026-04-28 00:00:00+05:30,2.9,3.42,2.19,2.49,515250,1093500,0.37904767951306273,0.16421065396158996,0.008248058256854452,-0.14049430710489375,0.19587291776211974
2026-04-29 00:00:00+05:30,2.3,2.69,1.96,2.13,573750,1143000,0.3701454071913095,0.14966678209683404,0.008102431053904905,-0.13110935607773813,0.1807288197564482
2026-04-30 00:00:00+05:30,1.8,1.91,1.33,1.48,807750,1237500,0.3831797786182782,0.11147593738677919,0.006635994538886948,-0.10972949723398583,0.1417317587454426
2026-05-04 00:00:00+05:30,1.45,1.8,1.05,1.2,1055250,1622250,0.3468085890909642,0.10655143801389327,0.007556052321424518,-0.10678930019914505,0.12887927204634056
2026-05-05 00:00:00+05:30,1.2,1.65,0.95,1.55,1172250,1854000,,,,,
2026-05-06 00:00:00+05:30,2.6,3.6,1.8,2.4,2776500,2094750,,,,,
2026-05-07 00:00:00+05:30,2.05,3.7,2.05,2.95,2218500,2157750,,,,,
2026-05-08 00:00:00+05:30,2.05,3.2,2.05,2.65,549000,2180250,,,,,
2026-05-11 00:00:00+05:30,1.8,2.35,1.15,1.25,1640250,2553750,,,,,
2026-05-12 00:00:00+05:30,0.95,1.0,0.35,0.4,1723500,2459250,,,,,
2026-05-13 00:00:00+05:30,0.4,0.45,0.3,0.4,582750,2398500,,,,,
2026-05-14 00:00:00+05:30,0.45,0.45,0.25,0.4,2245500,1995750,,,,,
2026-05-15 00:00:00+05:30,0.35,0.55,0.25,0.45,2535750,1757250,,,,,
