date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,17.25,17.25,17.25,17.25,425,425,0.3405056132362453,-0.14428484953064702,0.0010182034287894975,-0.8110157767338665,1.4884116660251616
2026-04-28 00:00:00+05:30,22.0,28.5,15.2,15.2,22525,9775,0.3104117528545893,-0.1440037132665588,0.001145939616155137,-0.7402702592341186,1.446904204577427
2026-04-29 00:00:00+05:30,13.0,13.55,10.25,12.8,30175,27625,0.30679713703140027,-0.12813812516722034,0.0010859182283696886,-0.6930203387086733,1.3166475745633333
2026-04-30 00:00:00+05:30,12.8,12.8,12.8,12.8,0,27625,0.3060382896754891,-0.13074317290821869,0.0011279526168466742,-0.7130669391715038,1.3066652085740103
2026-05-04 00:00:00+05:30,10.05,10.05,7.0,8.05,21675,19125,0.3307656321076511,-0.08835786919312338,0.0008398052200438299,-0.6559743098550821,0.9236785127713217
2026-05-05 00:00:00+05:30,6.75,8.95,6.75,7.25,8925,19125,,,,,
2026-05-06 00:00:00+05:30,5.0,5.05,2.25,2.5,73525,50150,,,,,
2026-05-07 00:00:00+05:30,3.0,3.0,1.85,2.3,16575,50150,,,,,
2026-05-08 00:00:00+05:30,2.0,4.55,1.9,2.85,28050,53550,,,,,
2026-05-11 00:00:00+05:30,7.0,17.0,6.75,11.2,293675,79900,,,,,
2026-05-12 00:00:00+05:30,12.05,12.95,5.7,9.2,53125,79900,,,,,
2026-05-13 00:00:00+05:30,7.9,12.95,7.9,11.7,76075,80325,,,,,
2026-05-14 00:00:00+05:30,7.9,9.7,3.85,4.65,84150,68000,,,,,
2026-05-15 00:00:00+05:30,5.45,5.45,2.4,3.0,62475,43775,,,,,
