date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,33.85,34.3,33.85,34.3,850,850,0.3261953429338559,0.27354703925479995,0.0015571258505692527,-1.3334800565396503,2.180548272976113
2026-04-28 00:00:00+05:30,31.05,31.05,17.5,22.2,9775,6800,0.2986223810671857,0.21325223266247834,0.0015268998474618572,-1.072519551956603,1.854696252762219
2026-04-29 00:00:00+05:30,23.4,26.05,19.25,20.0,19550,6800,0.2822940849320355,0.20725531056841223,0.0016114447962908619,-1.0215722170381372,1.797787382888436
2026-04-30 00:00:00+05:30,16.8,19.95,16.05,19.45,27200,18700,0.2922275438558945,0.2007977872959994,0.00156087286359741,-1.0492626996954286,1.7265787182442214
2026-05-04 00:00:00+05:30,28.0,35.6,24.4,27.3,53550,37400,0.3069440772436605,0.2638184914454624,0.001846337340944211,-1.4201038201536684,1.8844829115753117
2026-05-05 00:00:00+05:30,28.65,29.2,24.0,25.55,28050,37825,,,,,
2026-05-06 00:00:00+05:30,26.0,67.4,26.0,59.5,357425,95625,,,,,
2026-05-07 00:00:00+05:30,60.5,82.3,50.25,63.65,1198075,235875,,,,,
2026-05-08 00:00:00+05:30,43.7,63.6,23.65,27.6,1789675,367625,,,,,
2026-05-11 00:00:00+05:30,11.05,16.6,6.8,7.35,666400,456025,,,,,
2026-05-12 00:00:00+05:30,7.4,9.6,5.1,5.9,189975,432225,,,,,
2026-05-13 00:00:00+05:30,6.5,6.7,3.45,3.6,171700,384625,,,,,
2026-05-14 00:00:00+05:30,4.8,5.3,3.25,4.0,144075,365925,,,,,
2026-05-15 00:00:00+05:30,4.05,5.25,2.85,3.1,96900,379950,,,,,
