date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,30.0,31.75,24.2,25.0,67000,108000,0.37531119631549387,-0.14205120705078267,0.0006848919531718458,-1.1890399981359057,1.9656867086908438
2026-04-28 00:00:00+05:30,25.95,31.45,20.15,29.4,134800,141000,0.39276842849454247,-0.15853304507696797,0.0007199177159689893,-1.3584091564162173,2.068556128782454
2026-04-29 00:00:00+05:30,25.7,26.9,15.05,18.85,157800,131600,0.388988496913034,-0.11150926696452168,0.000569352256614215,-1.1067449927830695,1.6279602205317563
2026-04-30 00:00:00+05:30,19.4,32.45,19.4,21.3,208800,150000,0.37097968814630455,-0.13218996839096175,0.0006977715503941699,-1.1854463385672434,1.7691575240839206
2026-05-04 00:00:00+05:30,16.65,24.5,14.0,19.8,207000,174600,,,,,
2026-05-05 00:00:00+05:30,21.7,25.0,5.65,6.15,830800,186000,,,,,
2026-05-06 00:00:00+05:30,5.0,5.05,2.35,3.75,294800,139000,,,,,
2026-05-07 00:00:00+05:30,5.25,5.25,2.5,2.7,80200,147000,,,,,
2026-05-08 00:00:00+05:30,3.0,3.3,2.7,3.05,24000,145600,,,,,
2026-05-11 00:00:00+05:30,4.45,4.8,3.35,4.0,118800,147200,,,,,
2026-05-12 00:00:00+05:30,4.35,5.15,3.6,5.05,122000,164000,,,,,
2026-05-13 00:00:00+05:30,5.65,7.05,4.5,6.0,73800,164000,,,,,
2026-05-14 00:00:00+05:30,3.95,6.0,2.85,2.95,60000,156400,,,,,
2026-05-15 00:00:00+05:30,2.65,3.7,2.45,3.3,26200,153600,,,,,
