date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,103.2,103.2,103.2,103.2,0,1400,0.5186505543693183,0.3611934867070566,0.0008258043455780345,-3.110041410492844,3.27531238377099
2026-04-28 00:00:00+05:30,52.4,52.4,41.15,44.0,1000,1800,0.34802279569560934,0.2574372477983234,0.00108411628284067,-1.8490818028092328,2.760142068447302
2026-04-29 00:00:00+05:30,60.8,71.8,52.75,53.9,21000,6400,0.3258758950759512,0.31339724705792216,0.0012686858846661221,-2.00029670569916,3.0390113961944003
2026-04-30 00:00:00+05:30,34.6,44.5,34.55,43.4,9400,7800,0.3508189049876767,0.25959038333782813,0.0011174970997413385,-1.943104639239311,2.6793688680763137
2026-05-04 00:00:00+05:30,47.0,63.9,39.85,43.95,35000,12600,,,,,
2026-05-05 00:00:00+05:30,44.25,64.45,34.0,60.5,207800,39600,,,,,
2026-05-06 00:00:00+05:30,75.0,99.35,62.0,84.65,1299200,125800,,,,,
2026-05-07 00:00:00+05:30,87.5,136.3,86.0,115.75,413000,75400,,,,,
2026-05-08 00:00:00+05:30,89.05,113.2,88.25,94.75,145600,97400,,,,,
2026-05-11 00:00:00+05:30,50.6,72.25,49.4,54.45,295200,109600,,,,,
2026-05-12 00:00:00+05:30,55.4,58.2,29.45,32.0,128000,107400,,,,,
2026-05-13 00:00:00+05:30,32.05,32.05,16.7,17.6,92000,106400,,,,,
2026-05-14 00:00:00+05:30,18.45,22.5,13.1,20.85,111200,100600,,,,,
2026-05-15 00:00:00+05:30,20.4,22.0,10.45,11.35,132600,77800,,,,,
