date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,21.2,21.2,18.0,18.6,288000,780000,0.4152386268183772,0.6365537488621377,0.011126979165296792,-0.2476497225763906,0.30490750022342594
2026-04-28 00:00:00+05:30,21.5,26.5,20.95,22.05,156000,780000,0.43895225904636925,0.6801321110077573,0.010045902493006662,-0.25877607362326743,0.2899113520442474
2026-04-29 00:00:00+05:30,22.65,25.15,22.3,23.2,201000,702000,0.4245360485582409,0.7128077424971522,0.009991588832656925,-0.2485461250492473,0.2737120877957676
2026-04-30 00:00:00+05:30,20.5,22.4,19.7,22.0,114000,684000,0.41567246302061167,0.7080563087376028,0.010515067754200495,-0.24883271135068935,0.26975648503528904
2026-05-04 00:00:00+05:30,29.0,33.0,27.5,30.85,183000,597000,0.48941147102109744,0.7906117450702681,0.007846906304244896,-0.27721501397062165,0.21554064404430595
2026-05-05 00:00:00+05:30,23.0,31.25,22.0,30.5,111000,561000,,,,,
2026-05-06 00:00:00+05:30,34.9,34.9,32.8,32.85,21000,558000,,,,,
2026-05-07 00:00:00+05:30,34.4,38.8,34.4,38.25,72000,510000,,,,,
2026-05-08 00:00:00+05:30,38.0,38.05,34.2,38.0,48000,495000,,,,,
2026-05-11 00:00:00+05:30,33.0,33.0,25.25,27.65,351000,375000,,,,,
2026-05-12 00:00:00+05:30,25.25,25.25,16.3,17.15,93000,378000,,,,,
2026-05-13 00:00:00+05:30,17.15,17.15,17.15,17.15,0,378000,,,,,
2026-05-14 00:00:00+05:30,28.65,34.4,28.0,34.4,135000,351000,,,,,
2026-05-15 00:00:00+05:30,31.0,31.0,31.0,31.0,3000,351000,,,,,
