date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,30.0,30.0,30.0,30.0,0,18000,,,,,
2026-04-28 00:00:00+05:30,30.4,30.4,30.25,30.25,9000,21000,0.40875197174436634,-0.7534868599784874,0.009516559660604957,-0.14199939050439944,0.2557400876000527
2026-04-29 00:00:00+05:30,30.25,30.25,30.25,30.25,0,21000,0.4848125399991412,-0.6934058798752648,0.009015089105165505,-0.21134521354071456,0.2820257211189445
2026-04-30 00:00:00+05:30,30.25,30.25,30.25,30.25,0,21000,0.46654472983020484,-0.7161876938656306,0.009244348443746737,-0.19589010910090526,0.26618167802431525
2026-05-04 00:00:00+05:30,23.65,23.65,19.05,20.4,189000,102000,0.4072490426377337,-0.6502817493774211,0.012136795107010417,-0.21779005953351296,0.27740907054194736
2026-05-05 00:00:00+05:30,23.0,25.9,16.65,17.05,327000,135000,,,,,
2026-05-06 00:00:00+05:30,14.1,17.55,14.05,14.7,324000,201000,,,,,
2026-05-07 00:00:00+05:30,11.3,13.05,10.4,10.85,261000,123000,,,,,
2026-05-08 00:00:00+05:30,10.55,13.35,10.3,11.05,183000,123000,,,,,
2026-05-11 00:00:00+05:30,14.1,19.55,13.55,17.8,198000,90000,,,,,
2026-05-12 00:00:00+05:30,18.0,27.9,18.0,27.9,9000,87000,,,,,
2026-05-13 00:00:00+05:30,21.3,24.3,15.0,15.2,174000,147000,,,,,
2026-05-14 00:00:00+05:30,14.3,17.55,11.55,12.6,234000,201000,,,,,
2026-05-15 00:00:00+05:30,18.0,18.0,11.55,15.8,144000,174000,,,,,
