date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,105.0,118.45,93.55,110.3,55800,45225,0.3915722072574708,-0.5088425141327295,0.001592802287552679,-1.496712960661423,2.550545088877435
2026-04-28 00:00:00+05:30,113.0,117.75,104.9,112.5,96975,121050,0.3975798882763746,-0.5164795566732613,0.0015985609007296126,-1.5465448124681935,2.499913909617109
2026-04-29 00:00:00+05:30,110.3,114.05,95.35,106.3,69750,155025,0.3622349307671751,-0.537602597760834,0.0017863078753562168,-1.4003201951003543,2.4378315116232416
2026-04-30 00:00:00+05:30,117.0,120.4,100.95,109.55,19125,156600,0.35851737073594603,-0.5591460096943868,0.0018352967654380386,-1.3879287509115323,2.3658497283854794
2026-05-04 00:00:00+05:30,90.0,106.6,84.9,93.25,27900,157725,0.3389721643632044,-0.5532327274968669,0.002104293254001636,-1.4493808358560083,2.191649259445675
2026-05-05 00:00:00+05:30,93.25,93.25,67.0,70.75,89100,202950,,,,,
2026-05-06 00:00:00+05:30,69.35,83.15,48.3,50.2,118350,212625,,,,,
2026-05-07 00:00:00+05:30,45.05,56.75,43.5,44.45,34875,215100,,,,,
2026-05-08 00:00:00+05:30,37.0,38.5,21.1,27.2,155925,206550,,,,,
2026-05-11 00:00:00+05:30,32.0,33.55,19.95,21.05,53325,202050,,,,,
2026-05-12 00:00:00+05:30,20.15,39.65,20.1,38.1,65925,180225,,,,,
2026-05-13 00:00:00+05:30,45.75,45.75,24.05,31.6,40950,173700,,,,,
2026-05-14 00:00:00+05:30,23.0,27.0,14.25,15.2,36225,183600,,,,,
2026-05-15 00:00:00+05:30,12.1,13.6,6.5,6.9,213750,138375,,,,,
