date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,85.4,85.4,85.4,85.4,0,0,0.7446449776425523,-0.5378857501269341,0.0024041926300641687,-1.0404895183547531,0.8809943523629923
2026-04-28 00:00:00+05:30,85.4,85.4,85.4,85.4,0,0,0.7174740155289228,-0.5605339508932188,0.0025413551944637254,-0.9995191621455989,0.8528486021510275
2026-04-29 00:00:00+05:30,85.4,85.4,85.4,85.4,0,0,0.7190614497294822,-0.5671098677627009,0.0025804797962154995,-1.0160783318640363,0.83357891597046
2026-04-30 00:00:00+05:30,85.4,85.4,85.4,85.4,0,0,0.7010899000086587,-0.5854362221504398,0.002687695147246051,-0.9909395742855491,0.8061903703425303
2026-05-04 00:00:00+05:30,85.4,85.4,85.4,85.4,0,0,0.8291629486502924,-0.5501077277839487,0.0024782256666810803,-1.3445442600236683,0.7623454414995219
2026-05-05 00:00:00+05:30,85.4,85.4,85.4,85.4,0,0,,,,,
2026-05-06 00:00:00+05:30,14.95,19.8,11.9,18.95,873600,48000,,,,,
2026-05-07 00:00:00+05:30,15.25,15.25,11.0,11.4,355200,132000,,,,,
2026-05-08 00:00:00+05:30,11.4,14.0,10.15,11.1,286800,133200,,,,,
2026-05-11 00:00:00+05:30,11.45,11.45,6.65,7.85,372000,133200,,,,,
2026-05-12 00:00:00+05:30,7.8,11.7,7.55,11.25,105600,120000,,,,,
2026-05-13 00:00:00+05:30,11.0,12.0,8.1,9.35,208800,124800,,,,,
2026-05-14 00:00:00+05:30,6.85,7.5,5.7,7.05,87600,124800,,,,,
2026-05-15 00:00:00+05:30,7.05,7.05,4.7,5.55,156000,120000,,,,,
