date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,9.0,9.0,7.5,7.6,12000,10800,0.3001930187406135,0.2099062511352291,0.004326672855548555,-0.358877525711219,0.6391594954320976
2026-04-28 00:00:00+05:30,5.0,5.7,5.0,5.55,4800,14400,0.29101483459433836,0.17090999238847926,0.004034427390311978,-0.30815826878700614,0.5491581428915518
2026-04-29 00:00:00+05:30,6.75,7.1,4.1,4.45,162000,117600,0.2802901650072862,0.14964601444718617,0.0039184956107422035,-0.27608240076166485,0.49340946478715003
2026-04-30 00:00:00+05:30,4.1,4.25,2.75,3.6,249600,246000,0.28052132639096394,0.12829029306857886,0.0036125103668998965,-0.2509599785450583,0.43356965045035173
2026-05-04 00:00:00+05:30,3.95,5.2,3.85,4.35,252000,302400,0.2928993280760158,0.1529571765375618,0.004186828898471714,-0.32345457165434316,0.45496151177342425
2026-05-05 00:00:00+05:30,4.9,6.35,1.4,5.6,4806000,639600,,,,,
2026-05-06 00:00:00+05:30,10.9,17.4,5.3,5.8,6010800,831600,,,,,
2026-05-07 00:00:00+05:30,5.8,9.75,5.0,9.15,1353600,708000,,,,,
2026-05-08 00:00:00+05:30,9.1,10.5,6.9,8.35,972000,776400,,,,,
2026-05-11 00:00:00+05:30,8.2,15.9,7.3,12.5,2743200,625200,,,,,
2026-05-12 00:00:00+05:30,10.35,13.5,6.75,7.05,812400,580800,,,,,
2026-05-13 00:00:00+05:30,9.05,9.05,6.1,7.35,426000,554400,,,,,
2026-05-14 00:00:00+05:30,8.65,11.75,7.25,7.55,836400,547200,,,,,
2026-05-15 00:00:00+05:30,8.2,11.6,6.75,8.35,1167600,594000,,,,,
