date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,63.0,78.7,63.0,74.9,7450,6350,0.32422156341358754,0.12892713442942788,0.000174067501172382,-4.672239487397866,7.83897049081819
2026-04-28 00:00:00+05:30,78.65,78.8,23.85,27.0,19200,10150,0.3011176434867088,0.06016134595757623,0.00011102470221852907,-2.4252867105095683,4.26247240688268
2026-04-29 00:00:00+05:30,32.1,68.85,32.1,35.65,70350,14800,0.27139082138320797,0.0823270762345259,0.00015525048104626305,-2.9409151045618485,5.477590002885648
2026-04-30 00:00:00+05:30,27.15,41.0,21.25,39.3,38700,17750,0.27467326843812456,0.08954768787356648,0.0001657559744291895,-3.241978114648434,5.748879093769947
2026-05-04 00:00:00+05:30,80.5,120.0,38.0,48.05,113550,26850,,,,,
2026-05-05 00:00:00+05:30,48.05,48.05,26.3,30.55,29100,29700,,,,,
2026-05-06 00:00:00+05:30,34.0,50.95,27.0,47.9,40900,26600,,,,,
2026-05-07 00:00:00+05:30,45.0,60.0,42.3,45.9,46450,35200,,,,,
2026-05-08 00:00:00+05:30,41.0,44.3,34.4,35.8,22850,34350,,,,,
2026-05-11 00:00:00+05:30,22.0,29.1,20.55,21.35,12650,35800,,,,,
2026-05-12 00:00:00+05:30,20.2,20.2,10.55,10.85,19050,31100,,,,,
2026-05-13 00:00:00+05:30,10.55,11.65,7.95,9.5,29500,24900,,,,,
2026-05-14 00:00:00+05:30,9.55,10.7,6.3,9.0,22250,27900,,,,,
2026-05-15 00:00:00+05:30,9.0,12.85,7.5,9.15,32100,27250,,,,,
