date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,28.95,35.55,25.95,32.75,233125,158125,0.43367113660159523,0.18357624064718492,0.0007679079740415054,-1.6711413547857104,2.119081695500781
2026-04-28 00:00:00+05:30,32.0,45.55,32.0,41.55,599375,265000,0.4191984679912213,0.2257868081436974,0.0008931045041955622,-1.9147003364310524,2.412036611924449
2026-04-29 00:00:00+05:30,43.45,55.75,33.95,51.75,950625,360625,0.39827919931373623,0.2758179189536589,0.0010392579415056786,-2.126299050368132,2.697723661330069
2026-04-30 00:00:00+05:30,53.0,56.4,43.45,52.8,1205000,404375,0.40699297718871646,0.279246209731147,0.0010415330697246142,-2.2251407377025165,2.666195136489085
2026-05-04 00:00:00+05:30,55.75,71.15,32.65,39.0,1216250,455625,0.44838767996408335,0.22264567149903924,0.0009297236798606092,-2.281197813986864,2.132006533264912
2026-05-05 00:00:00+05:30,36.05,41.5,31.15,35.8,832500,485625,,,,,
2026-05-06 00:00:00+05:30,40.4,47.4,34.85,44.45,859375,523125,,,,,
2026-05-07 00:00:00+05:30,46.2,71.25,39.65,65.45,1660000,636875,,,,,
2026-05-08 00:00:00+05:30,70.0,100.85,59.25,80.95,3037500,723125,,,,,
2026-05-11 00:00:00+05:30,80.0,134.1,60.65,107.65,8820000,824375,,,,,
2026-05-12 00:00:00+05:30,112.0,139.95,78.75,84.0,4229375,1056250,,,,,
2026-05-13 00:00:00+05:30,124.95,139.45,74.35,99.35,5007500,970000,,,,,
2026-05-14 00:00:00+05:30,104.45,200.0,103.05,187.5,3024375,630000,,,,,
2026-05-15 00:00:00+05:30,200.0,243.0,190.0,214.45,569375,540000,,,,,
