date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-30 00:00:00+05:30,732.45,732.45,732.45,732.45,0,0,1.4868835873566983,-0.5514649506195786,0.0003354927861130625,-8.549258132465019,3.1375604834951885
2026-05-04 00:00:00+05:30,732.45,732.45,732.45,732.45,0,0,1.4924745620997477,-0.5902156848552529,0.00036417872804883503,-8.992204691009613,2.779729140264289
2026-05-05 00:00:00+05:30,732.45,732.45,732.45,732.45,0,0,,,,,
2026-05-06 00:00:00+05:30,732.45,732.45,732.45,732.45,0,0,,,,,
2026-05-07 00:00:00+05:30,380.0,380.05,380.0,380.0,1875,1875,,,,,
2026-05-08 00:00:00+05:30,320.0,329.25,310.2,323.0,15000,15625,,,,,
2026-05-11 00:00:00+05:30,300.0,355.0,215.3,243.45,77500,29375,,,,,
2026-05-12 00:00:00+05:30,205.0,270.0,205.0,270.0,19375,21875,,,,,
2026-05-13 00:00:00+05:30,201.2,275.0,196.95,220.0,30625,28750,,,,,
2026-05-14 00:00:00+05:30,181.25,202.45,107.2,117.1,273125,110625,,,,,
2026-05-15 00:00:00+05:30,105.05,121.45,87.35,94.4,2679375,278750,,,,,
