date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,12.8,12.8,12.8,12.8,0,6800,0.34293860884049887,0.16311340973703065,0.0015900734526767078,-0.7025387895736753,1.1132834341186018
2026-04-28 00:00:00+05:30,15.0,15.0,13.0,14.35,9200,10000,0.35140212103936397,0.17713167966631782,0.0016568819442525488,-0.7754670352028971,1.1588957030004903
2026-04-29 00:00:00+05:30,14.5,17.25,11.35,12.05,16400,16000,0.33805580494923626,0.16089831517529896,0.0016492790189999026,-0.7135973305582604,1.0695989194977553
2026-04-30 00:00:00+05:30,9.15,9.5,7.95,8.0,10000,20000,0.3383710227073556,0.11830971302213239,0.0013829752021412012,-0.5773902217381133,0.838166102347974
2026-05-04 00:00:00+05:30,7.95,10.1,7.25,8.9,24000,24800,0.348057905915331,0.13346977026829787,0.0015690803699086894,-0.7087985106527389,0.8497596316808139
2026-05-05 00:00:00+05:30,7.0,7.05,4.9,4.9,18000,24000,,,,,
2026-05-06 00:00:00+05:30,9.35,13.9,9.35,13.75,14800,23200,,,,,
2026-05-07 00:00:00+05:30,15.4,27.0,15.4,23.25,128800,100800,,,,,
2026-05-08 00:00:00+05:30,25.2,25.8,19.6,21.95,18400,102000,,,,,
2026-05-11 00:00:00+05:30,21.45,24.0,16.55,22.0,75200,67600,,,,,
2026-05-12 00:00:00+05:30,19.0,20.05,8.15,8.95,99200,74400,,,,,
2026-05-13 00:00:00+05:30,10.0,12.45,2.35,2.65,278800,77200,,,,,
2026-05-14 00:00:00+05:30,2.9,3.75,2.45,3.25,106800,77200,,,,,
2026-05-15 00:00:00+05:30,2.05,2.7,1.2,1.35,30800,70400,,,,,
