date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,223.2,223.2,223.2,223.2,0,0,2.087562240373859,-0.4336970320204967,0.0008422205059755219,-3.067476571568881,0.8803335951764701
2026-04-28 00:00:00+05:30,223.2,223.2,223.2,223.2,0,0,2.0662653416792747,-0.4481691059993397,0.0008831001634743869,-3.061882244299053,0.8575350714455929
2026-04-29 00:00:00+05:30,223.2,223.2,223.2,223.2,0,0,2.1148967076441263,-0.44542999490699786,0.0008752960267965051,-3.2024009931472697,0.8437212851703921
2026-04-30 00:00:00+05:30,68.2,68.2,66.4,66.4,2325,775,0.34963805951556415,-0.7502825031971567,0.004252815958709411,-0.337333920036879,0.6783083126254023
2026-05-04 00:00:00+05:30,52.8,52.8,42.05,42.05,10075,6200,0.37407990241510863,-0.5838671216777511,0.00507717552623671,-0.586708024995527,0.8012205707863496
2026-05-05 00:00:00+05:30,42.05,42.05,42.05,42.05,0,6200,,,,,
2026-05-06 00:00:00+05:30,25.0,25.9,16.9,17.8,50375,19375,,,,,
2026-05-07 00:00:00+05:30,14.0,14.0,12.6,13.45,10075,24800,,,,,
2026-05-08 00:00:00+05:30,12.0,15.55,12.0,15.5,9300,31775,,,,,
2026-05-11 00:00:00+05:30,23.8,23.8,17.15,21.95,18600,34100,,,,,
2026-05-12 00:00:00+05:30,25.0,33.65,17.15,32.65,52700,27900,,,,,
2026-05-13 00:00:00+05:30,24.0,29.9,21.95,29.9,31775,34875,,,,,
2026-05-14 00:00:00+05:30,35.0,35.0,20.0,22.85,17825,34875,,,,,
2026-05-15 00:00:00+05:30,23.1,27.95,21.0,27.95,10850,33325,,,,,
