date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,15.75,15.75,0.3,11.0,14725,10850,0.46948661610609554,0.19957015252927335,0.0026614766350362196,-0.5326887564982502,0.6256448956159469
2026-04-28 00:00:00+05:30,11.5,11.85,8.1,8.9,242575,145700,0.4775464362265001,0.1705588227973659,0.0024495255409943684,-0.49098126799099956,0.5497350341996378
2026-04-29 00:00:00+05:30,8.6,11.1,6.7,7.6,730825,241025,0.4550621742622596,0.15760190355520476,0.002479795118360122,-0.454106491093875,0.5143294893617154
2026-04-30 00:00:00+05:30,3.0,11.65,2.9,7.9,1098175,268150,0.42183483715430203,0.17208164219756222,0.0028306423301718746,-0.46499049275800475,0.5447024003607515
2026-05-04 00:00:00+05:30,8.15,12.35,8.15,11.5,888150,237925,0.39145767986309465,0.2510250279142389,0.003960918299648833,-0.6172908862012643,0.6541031477095502
2026-05-05 00:00:00+05:30,9.75,13.35,9.0,10.9,416175,229400,,,,,
2026-05-06 00:00:00+05:30,13.25,22.25,11.4,20.75,553350,168175,,,,,
2026-05-07 00:00:00+05:30,21.5,29.5,18.65,22.8,482050,199950,,,,,
2026-05-08 00:00:00+05:30,22.55,30.8,19.65,20.45,757175,307675,,,,,
2026-05-11 00:00:00+05:30,14.05,16.7,9.85,11.05,211575,352625,,,,,
2026-05-12 00:00:00+05:30,10.0,12.45,6.1,6.4,686650,360375,,,,,
2026-05-13 00:00:00+05:30,7.0,10.3,5.85,6.25,251875,396800,,,,,
2026-05-14 00:00:00+05:30,6.55,8.3,3.4,6.5,395250,370450,,,,,
2026-05-15 00:00:00+05:30,7.35,8.0,3.35,3.8,261950,332475,,,,,
