date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,14.65,16.65,14.0,16.55,4950,3850,0.4198811313116641,0.12970716863183085,0.0007879468641452205,-1.0255372550777553,1.3484240416273112
2026-04-28 00:00:00+05:30,16.55,16.55,16.55,16.55,0,3850,0.42240060358148296,0.13062776273689058,0.0007991162568503956,-1.0565715586159397,1.3346462210491088
2026-04-29 00:00:00+05:30,16.55,16.55,16.55,16.55,0,3850,0.4500645573985463,0.1269940085276517,0.0007554798883902011,-1.1098562750695165,1.2741009591246748
2026-04-30 00:00:00+05:30,16.55,16.55,16.55,16.55,0,3850,0.4326231447077047,0.13167011773908005,0.000811855600399649,-1.1293515753509877,1.2968228057788207
2026-05-04 00:00:00+05:30,9.5,9.5,7.8,8.0,1650,3025,0.38923377512182916,0.0835760750319452,0.0007062617590799303,-0.7921505260103822,0.8587751908140365
2026-05-05 00:00:00+05:30,8.0,8.0,8.0,8.0,0,3025,,,,,
2026-05-06 00:00:00+05:30,8.0,8.0,8.0,8.0,0,3025,,,,,
2026-05-07 00:00:00+05:30,8.0,8.0,8.0,8.0,0,3025,,,,,
2026-05-08 00:00:00+05:30,8.0,8.0,8.0,8.0,0,3025,,,,,
2026-05-11 00:00:00+05:30,1.2,2.5,1.2,2.5,1100,3025,,,,,
2026-05-12 00:00:00+05:30,2.5,2.5,2.5,2.5,0,3025,,,,,
2026-05-13 00:00:00+05:30,2.5,2.5,2.5,2.5,0,3025,,,,,
2026-05-14 00:00:00+05:30,2.5,2.5,2.5,2.5,0,3025,,,,,
2026-05-15 00:00:00+05:30,2.5,2.5,2.5,2.5,0,3025,,,,,
