date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,180.25,180.25,180.25,180.25,0,0,1.7142465486448843,-0.3925531282697132,0.0008037775678211511,-3.0680386562586652,1.07231267447254
2026-04-28 00:00:00+05:30,30.55,32.05,22.0,30.25,59375,30625,0.4598108148330337,-0.32926740581266345,0.002776552505702124,-0.7765991085094863,1.0254482442318271
2026-04-29 00:00:00+05:30,24.0,26.45,20.15,26.45,28125,33750,0.44756219849510975,-0.30840386170500356,0.00281046869001224,-0.7551925959172301,0.985029833329926
2026-04-30 00:00:00+05:30,19.85,43.45,19.85,29.15,55625,25625,0.41907758088816655,-0.3570095412105918,0.003302277695409605,-0.7409617693244348,1.0055142970298683
2026-05-04 00:00:00+05:30,20.3,25.2,18.95,25.0,11250,22500,0.4421776859147005,-0.3254326286166237,0.003254409273047859,-0.8420977610110688,0.9011619705946818
2026-05-05 00:00:00+05:30,28.0,28.65,13.4,14.0,31250,18750,,,,,
2026-05-06 00:00:00+05:30,5.35,7.9,5.25,6.5,48125,33125,,,,,
2026-05-07 00:00:00+05:30,6.5,6.5,6.5,6.5,0,33125,,,,,
2026-05-08 00:00:00+05:30,5.5,5.5,3.3,3.35,10000,30625,,,,,
2026-05-11 00:00:00+05:30,2.8,2.8,2.8,2.8,625,30625,,,,,
2026-05-12 00:00:00+05:30,4.6,7.3,4.3,6.3,7500,33125,,,,,
2026-05-13 00:00:00+05:30,7.45,7.45,2.25,3.05,241875,181250,,,,,
2026-05-14 00:00:00+05:30,1.55,1.8,0.75,1.1,431875,110000,,,,,
2026-05-15 00:00:00+05:30,1.3,1.3,0.85,1.1,30625,95625,,,,,
