date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,16.15,16.15,16.15,16.15,0,0,,,,,
2026-04-28 00:00:00+05:30,16.15,16.15,16.15,16.15,0,0,,,,,
2026-04-29 00:00:00+05:30,16.15,16.15,16.15,16.15,0,0,,,,,
2026-04-30 00:00:00+05:30,17.9,17.9,12.4,14.2,183750,90000,0.37567636360647505,0.4820326020649044,0.009954418294777095,-0.33859295030589526,0.42472601379033437
2026-05-04 00:00:00+05:30,11.4,19.5,9.7,16.9,2096250,296250,0.36773098872137094,0.5654695202082258,0.010689724634875305,-0.36736106993546463,0.3940224859472146
2026-05-05 00:00:00+05:30,18.95,23.2,15.65,19.85,937500,193125,,,,,
2026-05-06 00:00:00+05:30,22.0,23.75,14.75,15.35,564375,187500,,,,,
2026-05-07 00:00:00+05:30,15.35,18.0,12.55,13.0,609375,286875,,,,,
2026-05-08 00:00:00+05:30,13.0,14.2,10.8,12.9,742500,264375,,,,,
2026-05-11 00:00:00+05:30,11.55,12.85,7.7,8.25,1050000,493125,,,,,
2026-05-12 00:00:00+05:30,9.1,13.0,7.85,8.35,2355000,770625,,,,,
2026-05-13 00:00:00+05:30,10.45,16.65,9.9,14.4,4333125,450000,,,,,
2026-05-14 00:00:00+05:30,16.8,22.0,15.0,18.25,778125,425625,,,,,
2026-05-15 00:00:00+05:30,13.05,14.75,8.45,9.3,1860000,586875,,,,,
