date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,6.7,6.7,6.7,6.7,0,19500,0.5163885446870888,-0.5301927209032208,0.028644474359146105,-0.08504712404171039,0.10698191849766399
2026-04-28 00:00:00+05:30,6.7,6.7,6.7,6.7,0,19500,0.4836932886953069,-0.5623769795829978,0.031083235697327575,-0.07853717679608122,0.10328068987872734
2026-04-29 00:00:00+05:30,5.82,6.83,5.79,6.83,156000,136500,0.41823105600700283,-0.6339551045694382,0.035488893102262414,-0.062125976847072564,0.09536992845206431
2026-04-30 00:00:00+05:30,6.83,6.83,6.83,6.83,0,136500,0.2984709130795234,-0.7712585318939207,0.0414629399460067,-0.028697498626012164,0.07404701041784538
2026-05-04 00:00:00+05:30,6.83,6.83,6.83,6.83,0,136500,0.40218119900536603,-0.6892515907575113,0.03865929394890817,-0.06075142317950553,0.08021890825909359
2026-05-05 00:00:00+05:30,6.83,6.83,6.83,6.83,0,136500,,,,,
2026-05-06 00:00:00+05:30,6.83,6.83,6.83,6.83,0,136500,,,,,
2026-05-07 00:00:00+05:30,4.1,4.1,3.43,3.63,383500,390000,,,,,
2026-05-08 00:00:00+05:30,3.47,3.6,1.91,2.1,1872000,656500,,,,,
2026-05-11 00:00:00+05:30,2.5,4.57,2.31,4.5,708500,624000,,,,,
2026-05-12 00:00:00+05:30,6.49,6.49,6.23,6.36,13000,630500,,,,,
2026-05-13 00:00:00+05:30,5.72,6.0,4.18,4.46,234000,650000,,,,,
2026-05-14 00:00:00+05:30,5.6,5.6,3.98,4.27,110500,630500,,,,,
2026-05-15 00:00:00+05:30,4.27,4.27,4.27,4.27,0,630500,,,,,
