date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,1.29,1.77,1.29,1.77,262400,256000,0.36627902724163236,0.3306437710447572,0.042177539590283565,-0.05828156610383049,0.08502726634359775
2026-04-28 00:00:00+05:30,1.77,2.67,1.66,2.54,544000,268800,0.3690226877224079,0.4223718126459209,0.04484776899517945,-0.06695657048647094,0.09254892506815843
2026-04-29 00:00:00+05:30,2.8,2.83,1.37,1.47,1241600,742400,0.30987460817143486,0.32994064067822726,0.05109634511744989,-0.05220466359767708,0.08282003921003739
2026-04-30 00:00:00+05:30,1.17,1.33,0.9,1.13,1152000,1036800,0.30747682389787806,0.2789271842083648,0.04921059417274465,-0.048048596620270466,0.07461018746835878
2026-05-04 00:00:00+05:30,1.3,1.35,0.9,0.92,1382400,1228800,0.3021364152942853,0.2567823421773545,0.05217032257334205,-0.048891260881458246,0.06589278195341819
2026-05-05 00:00:00+05:30,0.94,0.95,0.66,0.76,934400,1254400,,,,,
2026-05-06 00:00:00+05:30,0.76,0.87,0.59,0.83,1548800,1363200,,,,,
2026-05-07 00:00:00+05:30,0.83,0.88,0.52,0.54,1030400,1702400,,,,,
2026-05-08 00:00:00+05:30,0.46,0.61,0.41,0.44,896000,1836800,,,,,
2026-05-11 00:00:00+05:30,0.31,0.39,0.27,0.28,1984000,2227200,,,,,
2026-05-12 00:00:00+05:30,0.27,0.27,0.18,0.18,902400,2182400,,,,,
2026-05-13 00:00:00+05:30,0.22,0.25,0.16,0.23,1120000,2214400,,,,,
2026-05-14 00:00:00+05:30,0.27,0.32,0.22,0.22,825600,2291200,,,,,
2026-05-15 00:00:00+05:30,0.2,0.27,0.17,0.18,524800,2374400,,,,,
