date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-05-04 00:00:00+05:30,372.85,372.85,336.0,336.0,650,2600,,,,,
2026-05-05 00:00:00+05:30,365.45,442.15,347.3,347.3,4225,4940,,,,,
2026-05-06 00:00:00+05:30,286.2,373.95,218.1,218.1,3640,2730,,,,,
2026-05-07 00:00:00+05:30,208.8,259.9,208.8,220.0,3055,1625,,,,,
2026-05-08 00:00:00+05:30,265.0,293.1,265.0,269.25,1170,1820,,,,,
2026-05-11 00:00:00+05:30,384.65,440.65,355.75,432.0,14690,7865,,,,,
2026-05-12 00:00:00+05:30,535.0,713.65,522.1,713.65,4875,3900,,,,,
2026-05-13 00:00:00+05:30,680.8,747.4,632.95,641.65,1755,2600,,,,,
2026-05-14 00:00:00+05:30,525.65,525.65,451.9,466.75,5785,6240,,,,,
2026-05-15 00:00:00+05:30,486.5,543.85,404.65,519.65,11960,8125,,,,,
