date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,207.1,215.35,173.15,175.85,20345,21775,0.19660503311868166,-0.2226234809434423,0.0002232753095471749,-5.875954392064967,20.244703052571733
2026-04-28 00:00:00+05:30,177.0,193.65,138.55,184.35,40300,26130,0.19274037929493298,-0.23839594338172265,0.00024179822599892426,-6.033498809930868,20.58533001101344
2026-04-29 00:00:00+05:30,180.0,180.0,104.35,135.4,64090,33670,0.1905847027325723,-0.19120968684795225,0.00021737454529646,-5.475131583186683,17.91413315886117
2026-04-30 00:00:00+05:30,175.0,253.95,160.15,170.55,64740,34320,0.19217467378884825,-0.23180174175119084,0.00024777612461063264,-6.19777672267711,19.533042836670145
2026-05-04 00:00:00+05:30,124.85,158.6,102.15,126.55,96135,40820,,,,,
2026-05-05 00:00:00+05:30,160.65,175.25,121.45,126.25,41145,42055,,,,,
2026-05-06 00:00:00+05:30,99.6,131.65,58.0,61.45,115180,40560,,,,,
2026-05-07 00:00:00+05:30,57.4,73.55,49.65,55.75,98670,40755,,,,,
2026-05-08 00:00:00+05:30,68.75,87.5,64.1,68.4,83070,49725,,,,,
2026-05-11 00:00:00+05:30,98.7,141.0,97.75,133.65,119145,52065,,,,,
2026-05-12 00:00:00+05:30,163.0,275.7,154.0,263.25,166530,78910,,,,,
2026-05-13 00:00:00+05:30,263.0,319.3,188.15,240.15,375180,75790,,,,,
2026-05-14 00:00:00+05:30,242.3,242.3,121.15,137.75,400010,94250,,,,,
2026-05-15 00:00:00+05:30,120.0,166.3,101.3,146.75,443300,126685,,,,,
