date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,2.4,4.4,2.3,3.4,904500,868500,0.2662952090662014,0.20384405034779068,0.009196805279125288,-0.164610513142166,0.32741365652262194
2026-04-28 00:00:00+05:30,3.55,4.3,2.65,2.75,564000,966000,0.2708295536959596,0.17354195292213842,0.008401743253565831,-0.15181953812495727,0.28893441084640237
2026-04-29 00:00:00+05:30,3.0,3.0,1.6,1.7,724500,1008000,0.2669307044933867,0.12188855932449943,0.0069420342061737505,-0.11752667379852401,0.2207468429327019
2026-04-30 00:00:00+05:30,1.65,1.65,0.85,1.25,1009500,1009500,0.26170813781631785,0.09787263913143951,0.006196510640045544,-0.09935993772430922,0.18404209899156915
2026-05-04 00:00:00+05:30,1.35,1.6,0.85,0.95,1675500,1651500,,,,,
2026-05-05 00:00:00+05:30,0.85,0.9,0.5,0.55,993000,1597500,,,,,
2026-05-06 00:00:00+05:30,0.5,0.55,0.4,0.45,1339500,1621500,,,,,
2026-05-07 00:00:00+05:30,0.45,0.7,0.45,0.6,979500,1726500,,,,,
2026-05-08 00:00:00+05:30,0.55,0.9,0.45,0.55,378000,1755000,,,,,
2026-05-11 00:00:00+05:30,0.45,0.6,0.25,0.3,943500,1714500,,,,,
2026-05-12 00:00:00+05:30,0.3,0.4,0.2,0.25,825000,1575000,,,,,
2026-05-13 00:00:00+05:30,0.25,0.25,0.2,0.25,940500,1416000,,,,,
2026-05-14 00:00:00+05:30,0.25,0.3,0.2,0.3,753000,1377000,,,,,
2026-05-15 00:00:00+05:30,0.25,0.3,0.2,0.25,837000,1266000,,,,,
