date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,44.3,44.3,44.3,44.3,0,0,0.7106932959081758,0.287596772233448,0.0012518859409981916,-1.6628816285113681,1.306695592347713
2026-04-28 00:00:00+05:30,44.3,44.3,44.3,44.3,0,0,0.6818299124283096,0.29635352156268446,0.0013283848688855561,-1.6719428921389057,1.3199353174805695
2026-04-29 00:00:00+05:30,44.3,44.3,44.3,44.3,0,0,0.7685183134254968,0.28150055057576373,0.001199587910627644,-1.817946200915085,1.2355130039832245
2026-05-06 00:00:00+05:30,44.3,44.3,44.3,44.3,0,0,,,,,
2026-05-07 00:00:00+05:30,10.1,15.6,10.1,15.5,5000,4000,,,,,
2026-05-08 00:00:00+05:30,34.8,99.95,34.8,85.2,983000,56000,,,,,
2026-05-11 00:00:00+05:30,86.0,98.65,67.65,70.85,40500,44000,,,,,
2026-05-12 00:00:00+05:30,49.0,63.1,43.65,44.85,132000,85500,,,,,
2026-05-13 00:00:00+05:30,44.0,47.0,25.0,26.15,115500,91500,,,,,
2026-05-14 00:00:00+05:30,24.45,24.45,10.7,15.55,125500,68500,,,,,
2026-05-15 00:00:00+05:30,23.0,23.0,9.9,10.45,50500,72500,,,,,
