date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,1.5,1.5,1.5,1.5,0,0,0.22028309008958571,0.1721787866729546,0.015263605953946236,-0.08150828947350056,0.193580355986081
2026-04-28 00:00:00+05:30,1.5,1.5,1.5,1.5,0,0,0.21625278482548096,0.17657173211013788,0.016023820753298015,-0.08312045275541914,0.1939430761684031
2026-04-29 00:00:00+05:30,1.5,1.5,1.5,1.5,0,0,0.24143873946872552,0.1655106307829911,0.014141449239012156,-0.0886431496417431,0.18119869898532187
2026-04-30 00:00:00+05:30,1.5,1.5,1.5,1.5,0,0,0.27499449319170105,0.15317684398624515,0.012167059769495751,-0.09530684214055142,0.16706861292865097
2026-05-04 00:00:00+05:30,1.5,1.5,1.5,1.5,0,0,0.29986340086595736,0.15277019427061045,0.012104546176513183,-0.11152404702910966,0.1534623147556252
2026-05-05 00:00:00+05:30,1.5,1.5,1.5,1.5,0,0,,,,,
2026-05-06 00:00:00+05:30,1.5,1.5,1.5,1.5,0,0,,,,,
2026-05-07 00:00:00+05:30,4.8,4.8,2.95,3.0,84375,59375,,,,,
2026-05-08 00:00:00+05:30,4.2,4.2,4.2,4.2,3125,59375,,,,,
2026-05-11 00:00:00+05:30,4.2,4.2,4.2,4.2,0,59375,,,,,
2026-05-12 00:00:00+05:30,0.8,1.45,0.8,0.85,190625,125000,,,,,
2026-05-13 00:00:00+05:30,1.6,1.6,1.3,1.3,21875,131250,,,,,
2026-05-14 00:00:00+05:30,1.3,1.3,1.3,1.3,0,131250,,,,,
2026-05-15 00:00:00+05:30,1.3,1.3,1.3,1.3,0,131250,,,,,
