date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,9.35,10.35,8.65,8.9,4900,4900,0.30603572718390804,0.1250800323709063,0.0013853735466347764,-0.5646502008785459,1.0003821406997997
2026-04-28 00:00:00+05:30,9.0,9.0,7.85,8.2,2800,4550,0.3208554643755415,0.1148935961389208,0.0012762352590040683,-0.5600005629602142,0.9188612505301614
2026-04-29 00:00:00+05:30,7.95,9.6,7.35,7.4,46900,40950,0.3305417931341754,0.10505031446977742,0.0011899874852281842,-0.5453913112120341,0.8411835713258666
2026-04-30 00:00:00+05:30,4.2,5.2,4.2,5.0,57400,76650,0.34208813622892764,0.07576030246032073,0.0009357817810761464,-0.4398048582501758,0.6356498577225277
2026-05-04 00:00:00+05:30,6.5,7.1,6.15,6.35,4900,77350,0.36272027130240053,0.09345476489117488,0.0011071523813537593,-0.5994588338698918,0.6943557200551057
2026-05-05 00:00:00+05:30,3.5,3.85,2.65,3.0,15750,73850,,,,,
2026-05-06 00:00:00+05:30,3.0,3.3,2.35,2.95,24500,69300,,,,,
2026-05-07 00:00:00+05:30,2.95,2.95,2.95,2.95,350,69300,,,,,
2026-05-08 00:00:00+05:30,3.5,5.65,3.4,4.6,163450,101500,,,,,
2026-05-11 00:00:00+05:30,2.9,3.0,0.85,0.95,100800,95900,,,,,
2026-05-12 00:00:00+05:30,2.0,2.2,0.55,0.55,22400,91700,,,,,
2026-05-13 00:00:00+05:30,0.55,1.9,0.5,0.55,39900,74200,,,,,
2026-05-14 00:00:00+05:30,0.55,0.55,0.1,0.35,9100,73850,,,,,
2026-05-15 00:00:00+05:30,0.35,0.6,0.35,0.6,8400,68250,,,,,
