date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,3.0,3.0,3.0,3.0,0,1050,0.9016772603972824,-0.003794024165257537,4.749628146069448e-06,-0.4565786634545143,0.2981038312811538
2026-04-28 00:00:00+05:30,3.0,3.0,1.1,1.1,150,1050,0.8521230791922115,-0.0015911649122607452,2.279873467728522e-06,-0.20478276858672248,0.13649040264939521
2026-04-29 00:00:00+05:30,3.2,3.5,1.1,1.1,900,1050,0.8814490129652847,-0.001549138168294495,2.1636815946949906e-06,-0.21327044552227412,0.13241271990162837
2026-04-30 00:00:00+05:30,2.8,3.4,2.5,3.2,2550,2325,1.0068415623602114,-0.0036778837139579412,4.204093287434016e-06,-0.5453721958133305,0.2852509798933788
2026-05-04 00:00:00+05:30,2.95,3.1,2.5,2.5,675,2400,1.0648989923168253,-0.003014510540283899,3.6123058794603255e-06,-0.5255878272912393,0.21950702863953994
2026-05-05 00:00:00+05:30,2.5,2.5,2.5,2.5,0,2400,,,,,
2026-05-06 00:00:00+05:30,1.95,2.85,1.95,2.5,3675,2700,,,,,
2026-05-07 00:00:00+05:30,1.2,3.1,1.2,2.2,278700,2625,,,,,
2026-05-08 00:00:00+05:30,4.0,4.0,1.65,1.85,2925,2625,,,,,
2026-05-11 00:00:00+05:30,2.0,2.8,1.45,2.45,1575,2625,,,,,
2026-05-12 00:00:00+05:30,2.45,2.45,0.8,0.8,1500,2625,,,,,
2026-05-13 00:00:00+05:30,1.85,2.5,1.0,1.75,176925,3225,,,,,
2026-05-14 00:00:00+05:30,1.55,1.95,1.3,1.55,2325,3975,,,,,
2026-05-15 00:00:00+05:30,1.6,2.0,1.1,1.55,1425,3525,,,,,
