date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,479.95,769.9,477.15,661.6,42525,14550,,,,,
2026-04-28 00:00:00+05:30,715.0,810.9,662.1,749.1,4425,12225,,,,,
2026-04-29 00:00:00+05:30,850.0,940.9,800.0,852.8,1875,11625,,,,,
2026-04-30 00:00:00+05:30,852.8,852.8,852.8,852.8,0,11625,,,,,
2026-05-04 00:00:00+05:30,940.6,940.6,859.05,907.55,825,11250,,,,,
2026-05-05 00:00:00+05:30,1059.6,1059.6,890.0,943.35,3600,10050,,,,,
2026-05-06 00:00:00+05:30,919.75,950.2,892.2,901.7,975,9975,,,,,
2026-05-07 00:00:00+05:30,988.5,988.5,976.4,976.4,225,9825,,,,,
2026-05-08 00:00:00+05:30,976.4,976.4,976.4,976.4,0,9825,,,,,
2026-05-11 00:00:00+05:30,800.0,810.65,800.0,810.65,225,9600,,,,,
2026-05-12 00:00:00+05:30,760.0,760.0,578.55,578.55,975,9225,,,,,
2026-05-13 00:00:00+05:30,540.0,543.35,502.5,524.05,300,9075,,,,,
2026-05-14 00:00:00+05:30,300.0,370.0,300.0,370.0,825,9150,,,,,
2026-05-15 00:00:00+05:30,681.15,703.35,508.0,508.0,900,8550,,,,,
