date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,2.5,2.6,2.4,2.5,15750,72000,0.2786174200456877,0.2054320992061563,0.012670060700439148,-0.12014284466838404,0.2292558392162303
2026-04-28 00:00:00+05:30,3.6,7.4,3.6,7.1,1044000,263250,0.27572485105107447,0.43516414450277596,0.017108658049062274,-0.18383444009499786,0.3285150627224989
2026-04-29 00:00:00+05:30,8.0,9.7,6.35,6.75,3658500,486000,0.269268229727783,0.4319849955671827,0.0178103583940242,-0.1826808368680831,0.32226650530482415
2026-04-30 00:00:00+05:30,9.45,10.0,4.55,5.4,3537000,785250,0.256159030503389,0.38926957576118904,0.01872480945609956,-0.1708300389760224,0.3065816867291634
2026-05-04 00:00:00+05:30,4.5,4.7,2.6,2.8,2616750,1147500,,,,,
2026-05-05 00:00:00+05:30,3.15,3.5,1.7,2.0,1224000,1057500,,,,,
2026-05-06 00:00:00+05:30,1.7,1.75,0.85,0.9,1775250,837000,,,,,
2026-05-07 00:00:00+05:30,0.9,1.1,0.75,0.85,303750,832500,,,,,
2026-05-08 00:00:00+05:30,0.85,0.85,0.7,0.85,317250,803250,,,,,
2026-05-11 00:00:00+05:30,1.05,1.05,0.8,0.85,123750,803250,,,,,
2026-05-12 00:00:00+05:30,1.8,4.0,1.75,2.2,7989750,1476000,,,,,
2026-05-13 00:00:00+05:30,2.2,2.8,1.6,2.2,4308750,1692000,,,,,
2026-05-14 00:00:00+05:30,2.3,3.85,2.3,2.55,7645500,1707750,,,,,
2026-05-15 00:00:00+05:30,2.65,3.95,1.85,2.0,3102750,1545750,,,,,
