date,open,high,low,close,volume,oi,iv,delta,gamma,theta,vega
2026-04-27 00:00:00+05:30,23.3,26.3,20.6,21.45,102600,171900,0.32037619630287956,0.6016883716734239,0.00916057665959427,-0.3264660138527086,0.5074479284260286
2026-04-28 00:00:00+05:30,22.7,22.7,19.0,19.8,61200,186300,0.32517624018490715,0.576496353636627,0.009373413365512489,-0.3362188169952874,0.5030797816664169
2026-04-29 00:00:00+05:30,18.85,23.0,18.45,20.4,158400,244800,0.31492861642512415,0.6017087291003327,0.009662029823342445,-0.3317634946595003,0.489420582386558
2026-04-30 00:00:00+05:30,17.15,17.15,14.0,15.9,237600,295200,0.3092726654130833,0.5330230484524131,0.010483317532241795,-0.3307386136953815,0.48752542880184985
2026-05-04 00:00:00+05:30,17.5,18.4,11.5,13.7,561600,353700,0.3273389135717121,0.4948444690165321,0.010879485984637805,-0.3701859278497325,0.44682923989238993
2026-05-05 00:00:00+05:30,12.05,13.3,11.05,12.3,402300,333900,,,,,
2026-05-06 00:00:00+05:30,13.8,15.0,11.3,13.9,763200,374400,,,,,
2026-05-07 00:00:00+05:30,14.55,14.9,12.0,13.45,953100,522900,,,,,
2026-05-08 00:00:00+05:30,13.25,15.4,11.9,13.5,605700,576000,,,,,
2026-05-11 00:00:00+05:30,11.35,11.7,8.65,10.4,547200,553500,,,,,
2026-05-12 00:00:00+05:30,9.05,10.0,4.9,5.25,545400,590400,,,,,
2026-05-13 00:00:00+05:30,5.95,7.75,4.8,6.8,584100,668700,,,,,
2026-05-14 00:00:00+05:30,7.45,8.65,6.3,6.55,279900,631800,,,,,
2026-05-15 00:00:00+05:30,7.45,18.15,6.25,10.95,3132900,522900,,,,,
